,Player,Span,Years,Inns,NO/I,R/I,Avrg,SR,100/I,50/I,6+4/BF,Class
0,V Kohli (INDIA),2009-2012,3,82,0.146341463,45.45121951,53.24,87.54,0.158536585,0.243902439,0.085506225,RS
251,KP Pietersen (ENG/ICC),2004-2007,3,45,0.2,45.02222222,56.27,91.46,0.111111111,0.311111111,0.105643341,RS
258,TLW Cooper (NL),2010-2013,3,22,0.090909091,44.36363636,48.8,70.16,0.045454545,0.363636364,0.061826024,NRS
124,CH Gayle (WI),2001-2004,3,82,0.06097561,42.65853659,45.42,79.91,0.10975609800000001,0.25609756100000003,0.107836418,NRS
189,JE Root (ENG),2013-2016,3,73,0.095890411,41.32876712,45.71,85.51,0.109589041,0.23287671199999999,0.077097506,NRS
2,Q de Kock (SA),2013-2016,3,69,0.057971014,41.30434783,43.84,94.55,0.15942029,0.115942029,0.123092236,NRS
259,JM How (NZ),2005-2008,3,18,0.055555556,39.88888889,42.23,72.96,0.055555556,0.333333333,0.088414634,NRS
7,Salman Butt (PAK),2004-2008,4,54,0.055555556,39.01851852,41.31,78.64,0.12962963,0.166666667,0.101530422,NRS
250,HH Dippenaar (SA),2001-2004,3,56,0.16071428599999998,37.25,44.38,66.15,0.017857143,0.303571429,0.065334602,RS
32,PR Stirling (IRE),2010-2014,4,29,0.0,36.44827586,36.44,104.44,0.172413793,0.034482759,0.14723320199999998,NRS
128,Ahmed Shehzad (PAK),2013-2016,3,56,0.0,36.30357143,36.3,74.06,0.071428571,0.23214285699999998,0.080874317,NRS
11,GC Smith (SA),2002-2005,3,56,0.035714286,35.64285714,36.96,73.84,0.0,0.267857143,0.086940437,NRS
140,Mohammad Shahzad (AFG),2009-2012,3,21,0.047619048,35.38095238,37.15,90.06,0.14285714300000002,0.14285714300000002,0.115151515,NRS
256,JD Ryder (NZ),2008-2011,3,30,0.033333333,34.7,35.89,90.99,0.066666667,0.166666667,0.12150349699999999,NRS
17,KS Williamson (NZ),2010-2014,4,49,0.12244898,34.67346939,39.51,79.06,0.06122449,0.22448979600000002,0.067938576,NRS
44,Imran Farhat (PAK),2003-2006,3,22,0.045454545,34.54545455,36.19,72.58,0.045454545,0.181818182,0.093600764,NRS
132,IR Bell (ENG),2004-2007,3,40,0.075,34.4,37.18,69.31,0.0,0.25,0.063476071,NRS
192,MJ Guptill (NZ),2009-2012,3,63,0.095238095,34.14285714,37.73,80.62,0.031746032,0.26984127,0.094452774,NRS
191,MS Dhoni (Asia/INDIA),2004-2007,3,68,0.279411765,33.85294118,46.97,98.75,0.044117647,0.19117647100000001,0.111969112,RS
13,RR Sarwan (WI),2001-2004,3,57,0.28070175399999997,33.63157895,46.75,78.75,0.035087718999999996,0.15789473699999998,0.073130649,RS
141,MW Machan (SCOT),2013-2016,3,22,0.0,33.36363636,33.36,77.1,0.045454545,0.13636363599999998,0.072478992,NRS
10,AB de Villiers (Afr/SA),2005-2008,3,62,0.09677419400000001,32.87096774,36.39,86.02,0.048387097000000004,0.193548387,0.113550021,NRS
126,MJ Clarke (AUS),2003-2006,3,71,0.267605634,32.71830986,44.67,86.13,0.028169014,0.22535211300000002,0.083796811,RS
203,AN Cook (ENG),2007-2010,3,24,0.0,32.41666667,32.41,70.09,0.041666667000000004,0.208333333,0.073873874,NRS
252,A Flintoff (ENG),2001-2004,3,56,0.17857142899999998,32.23214286,39.23,94.4,0.053571429000000004,0.19642857100000002,0.115585774,RS
8,Tamim Iqbal (BDESH),2009-2012,3,65,0.015384615,32.18461538,32.68,88.19,0.030769231,0.246153846,0.10876897099999999,NRS
12,SK Raina (INDIA),2007-2010,3,60,0.21666666699999998,32.1,40.97,97.27,0.05,0.21666666699999998,0.10757575800000001,RS
129,LRPL Taylor (NZ),2006-2009,3,54,0.185185185,32.03703704,39.31,83.69,0.055555556,0.185185185,0.095307209,RS
59,BG Rogers (ZIM),2002-2005,3,15,0.0,31.86666667,31.86,69.37,0.0,0.333333333,0.08998548599999999,NRS
6,Umar Akmal (PAK),2010-2014,4,68,0.176470588,31.25,37.94,88.1,0.014705882,0.220588235,0.090381426,RS
136,WTS Porterfield (IRE),2006-2009,3,37,0.081081081,31.08108108,33.82,65.86,0.10810810800000001,0.10810810800000001,0.068155785,NRS
14,Shahriar Nafees (BDESH),2005-2008,3,60,0.083333333,30.95,33.76,69.68,0.066666667,0.166666667,0.089681051,NRS
61,Rahmat Shah (AFG),2013-2016,3,13,0.076923077,30.92307692,33.5,65.79,0.076923077,0.076923077,0.049099835999999994,NRS
198,DA Warner (AUS),2009-2012,3,34,0.0,30.88235294,30.88,81.83,0.058823529000000006,0.147058824,0.092751364,NRS
3,Shoaib Malik (PAK),2002-2005,3,81,0.09876543199999999,30.79012346,34.16,78.79,0.04938271599999999,0.19753086399999997,0.07330173799999999,NRS
253,GJ Maxwell (AUS),2012-2015,3,50,0.12,30.7,34.88,126.44,0.02,0.24,0.170510708,NRS
190,V Sehwag (INDIA),2001-2004,3,98,0.06122449,30.48979592,32.47,94.73,0.06122449,0.14285714300000002,0.14552948599999999,NRS
135,MR Marsh (AUS),2013-2016,3,38,0.184210526,30.34210526,37.19,92.38,0.026315789,0.21052631600000002,0.10416666699999999,NRS
134,JA Rudolph (Afr/SA),2003-2006,3,39,0.153846154,30.1025641,35.57,68.05,0.0,0.179487179,0.066086957,NRS
19,EJG Morgan (ENG/IRE),2007-2010,3,49,0.204081633,30.08163265,37.79,80.1,0.06122449,0.163265306,0.09130434800000001,RS
5,WU Tharanga (Asia/SL),2005-2009,4,73,0.01369863,29.83561644,30.25,70.41,0.08219178099999999,0.123287671,0.085354025,NRS
1,Yuvraj Singh (INDIA),2002-2005,3,99,0.141414141,29.68686869,34.57,85.48,0.050505050999999995,0.181818182,0.09918557300000001,RS
248,DPMD Jayawardene (SL),2001-2004,3,90,0.1,29.66666667,32.96,71.52,0.033333333,0.15555555599999998,0.056790785,NRS
15,BRM Taylor (ZIM),2006-2009,3,62,0.14516129,29.59677419,34.62,72.27,0.016129031999999998,0.193548387,0.067743206,RS
