,id,Player,Span,Years,Inns,R/I,HS,Avrg,SR,100/I,50/I,6+4/BF,Class
0,0,V Kohli (INDIA),2009-2012,4,82,45.45121951,183,53.24,87.54,0.158536585,0.243902439,0.085506225,RS
1,1,Yuvraj Singh (INDIA),2002-2005,4,99,29.68686869,139,34.57,85.48,0.050505050999999995,0.181818182,0.09918557300000001,RS
2,2,Shoaib Malik (PAK),2002-2005,4,81,30.79012346,143,34.16,78.79,0.04938271599999999,0.19753086399999997,0.07330173799999999,RS
3,3,CH Gayle (WI),2001-2003,3,57,42.36842105,152,42.36,80.31,0.087719298,0.298245614,0.11074160300000001,RS
4,4,Shakib Al Hasan (BDESH),2007-2011,5,83,27.18072289,108,30.9,79.74,0.048192770999999995,0.180722892,0.07670555,RS
5,5,WU Tharanga (Asia/SL),2005-2009,5,73,29.83561644,120,30.25,70.41,0.08219178099999999,0.123287671,0.085354025,NRS
6,6,Salman Butt (PAK),2004-2008,5,54,39.01851852,136,41.31,78.64,0.12962963,0.166666667,0.101530422,RS
7,7,Tamim Iqbal (BDESH),2009-2012,4,65,32.18461538,154,32.68,88.19,0.030769231,0.246153846,0.10876897099999999,RS
8,8,Mohammad Ashraful (Asia/BDESH),2004-2008,5,88,23.48863636,109,26.16,73.97,0.022727273,0.125,0.081245526,RS
9,9,AB de Villiers (Afr/SA),2005-2008,4,62,32.87096774,146,36.39,86.02,0.048387097000000004,0.193548387,0.113550021,RS
10,10,GC Smith (SA),2002-2005,4,56,35.64285714,99,36.96,73.84,0.0,0.267857143,0.086940437,RS
11,11,SK Raina (INDIA),2007-2010,4,60,32.1,116,40.97,97.27,0.05,0.21666666699999998,0.10757575800000001,RS
12,12,RR Sarwan (WI),2001-2004,4,57,33.63157895,104,46.75,78.75,0.035087718999999996,0.15789473699999998,0.073130649,RS
13,13,Umar Akmal (PAK),2010-2013,4,63,29.71428571,91,35.32,85.75,0.0,0.206349206,0.086578104,RS
14,14,Shahriar Nafees (BDESH),2005-2008,4,60,30.95,123,33.76,69.68,0.066666667,0.166666667,0.089681051,NRS
15,15,BRM Taylor (ZIM),2006-2009,4,62,29.59677419,118,34.62,72.27,0.016129031999999998,0.193548387,0.067743206,NRS
16,16,E Chigumbura (Afr/ZIM),2006-2010,5,78,22.70512821,79,24.94,81.5,0.0,0.128205128,0.08697653,RS
17,17,Abdul Razzaq (PAK),2001-2003,3,67,24.2238806,112,31.82,80.82,0.014925373,0.104477612,0.081673307,RS
18,18,M Kaif (INDIA),2002-2004,3,66,23.87878788,111,30.9,73.57,0.015151515,0.13636363599999998,0.063492063,NRS
19,19,LD Chandimal (SL),2010-2013,4,61,25.39344262,111,30.37,73.2,0.032786885,0.14754098400000001,0.064744802,NRS
20,20,MJ Clarke (AUS),2003-2005,3,45,33.33333333,105,45.45,89.02,0.04444444400000001,0.177777778,0.092581602,RS
21,21,EJG Morgan (ENG/IRE),2007-2010,4,49,30.08163265,115,37.79,80.1,0.06122449,0.163265306,0.09130434800000001,RS
22,22,Aftab Ahmed (BDESH),2006-2008,3,58,24.68965517,92,26.51,90.0,0.0,0.18965517199999998,0.118793212,RS
23,23,Mushfiqur Rahim (BDESH),2007-2011,5,68,19.83823529,98,23.66,69.0,0.0,0.088235294,0.061892583,NRS
24,24,Raqibul Hasan (BDESH),2008-2011,4,54,24.22222222,89,27.82,61.32,0.0,0.148148148,0.051570557999999996,NRS
25,25,KS Williamson (NZ),2010-2013,4,42,30.35714286,145,35.41,77.22,0.071428571,0.14285714300000002,0.066626287,NRS
26,26,RG Sharma (INDIA),2007-2011,5,57,21.89473684,114,27.13,75.72,0.035087718999999996,0.087719298,0.061893204,NRS
27,27,CK Kapugedera (SL),2007-2011,5,57,21.73684211,95,24.29,71.24,0.0,0.10526315800000001,0.061529615,NRS
28,28,MN Samuels (WI),2001-2005,5,45,27.42222222,108,33.35,77.85,0.022222222000000003,0.177777778,0.092113565,RS
29,29,V Sibanda (Afr/ZIM),2003-2007,5,53,22.98113208,116,23.88,61.95,0.018867925,0.150943396,0.07731434400000001,NRS
30,30,Shahid Afridi (PAK),2001-2003,3,55,22.07272727,108,23.34,109.66,0.018181818,0.145454545,0.159891599,RS
31,31,Junaid Siddique (BDESH),2007-2011,5,53,22.56603774,100,23.0,68.22,0.018867925,0.11320754699999999,0.071306332,NRS
