Player,Span,Inns,NO/I,R/I,Avg,SR,100/I,50/I,6+4/BF
V Kohli (INDIA),2009-2014,129,0.14728682170542637,44.51162790697674,52.20,90.78,0.15503875968992248,0.23255813953488372,0.09565217391304348
Yuvraj Singh (Asia/INDIA),2002-2007,153,0.1568627450980392,33.169934640522875,39.34,86.94,0.05228758169934641,0.20915032679738563,0.10227856775740962
CH Gayle (ICC/WI),2001-2005,99,0.050505050505050504,40.717171717171716,42.88,80.57,0.1111111111111111,0.2222222222222222,0.10673595842494503
Shoaib Malik (PAK),2002-2008,122,0.09836065573770492,32.52459016393443,36.07,78.71,0.040983606557377046,0.21311475409836064,0.076175362031343
KS Williamson (NZ),2010-2016,87,0.10344827586206896,42.13793103448276,47.00,84.02,0.08045977011494253,0.28735632183908044,0.08457483382993353
GC Smith (Afr/SA),2002-2006,98,0.05102040816326531,36.12244897959184,38.06,78.92,0.061224489795918366,0.20408163265306123,0.09453734671125975
RR Sarwan (WI),2001-2006,95,0.23157894736842105,36.26315789473684,47.19,77.62,0.031578947368421054,0.24210526315789474,0.07030193780982424
WU Tharanga (Asia/SL),2005-2011,105,0.0380952380952381,32.02857142857143,33.29,72.93,0.0761904761904762,0.17142857142857143,0.0882671871611364
BRM Taylor (ZIM),2006-2012,100,0.13,33.59,38.60,76.56,0.06,0.2,0.07339867791201277
MJ Clarke (AUS),2003-2007,93,0.23655913978494625,33.69892473118279,44.14,82.77,0.021505376344086023,0.24731182795698925,0.07791864764923402
SK Raina (INDIA),2007-2012,104,0.21153846153846154,29.903846153846153,37.92,98.95,0.028846153846153848,0.20192307692307693,0.10626789691377665
AB de Villiers (Afr/SA),2005-2009,89,0.12359550561797752,34.741573033707866,39.64,86.73,0.0449438202247191,0.2247191011235955,0.10350631136044881
JE Root (ENG),2013-2016,73,0.0958904109589041,41.32876712328767,45.71,85.51,0.1095890410958904,0.2328767123287671,0.07709750566893424
V Sehwag (INDIA),2001-2004,97,0.061855670103092786,30.68041237113402,32.70,94.77,0.061855670103092786,0.14432989690721648,0.14617834394904458
Shakib Al Hasan (BDESH),2007-2012,100,0.12,29.15,33.12,80.30,0.04,0.22,0.0743801652892562
