Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50,50/I,4,6,6+4/BF
EJG Morgan (ENG/IRE),2007-2010,4,13,30.76923076923077,103,33.33,84.21,0.07692307692307693,2,0.15384615384615385,33,8,0.0863157894736842
LD Chandimal (SL),2011-2013,3,13,27.76923076923077,80,32.81,78.82,0.0,3,0.23076923076923078,30,4,0.07423580786026202
BB McCullum (NZ),2002-2005,4,14,18.642857142857142,51,21.75,68.50,0.0,1,0.07142857142857142,19,4,0.06036745406824147
Shoaib Malik (PAK),2002-2005,4,11,22.545454545454547,66,22.54,54.26,0.0,1,0.09090909090909091,19,3,0.04814004376367615
MN Samuels (WI),2001-2005,5,11,21.545454545454547,63,21.54,74.06,0.0,1,0.09090909090909091,27,0,0.084375
IK Pathan (INDIA),2006-2008,3,13,12.0,29,13.00,60.70,0.0,0,0.0,12,4,0.0622568093385214
V Kohli (INDIA),2010-2013,4,11,51.63636363636363,118,63.11,103.83,0.2727272727272727,2,0.18181818181818182,59,9,0.12431444241316271
LRPL Taylor (NZ),2007-2009,3,15,37.6,117,40.28,83.30,0.06666666666666667,4,0.26666666666666666,54,10,0.09453471196454949
AB de Villiers (SA),2006-2009,4,11,43.54545454545455,92,47.90,89.36,0.0,4,0.36363636363636365,51,7,0.10820895522388059
KA Pollard (WI),2008-2012,5,11,36.63636363636363,102,40.30,94.37,0.09090909090909091,1,0.09090909090909091,23,21,0.10304449648711944
Yuvraj Singh (INDIA),2003-2006,4,13,26.307692307692307,139,26.30,94.21,0.07692307692307693,0,0.0,37,4,0.11294765840220386
AD Mathews (SL),2010-2012,3,10,27.8,77,34.75,77.00,0.0,2,0.2,21,2,0.06371191135734072
MJ Guptill (NZ),2009-2011,3,12,22.583333333333332,64,24.63,70.57,0.0,1,0.08333333333333333,29,7,0.09375
Shahid Afridi (PAK),2001-2005,5,15,15.133333333333333,56,16.21,131.21,0.0,1,0.06666666666666667,14,16,0.17341040462427745
RL Powell (WI),2001-2003,3,12,18.583333333333332,37,20.27,82.28,0.0,0,0.0,25,3,0.1033210332103321
DJ Bravo (WI),2005-2008,4,13,16.76923076923077,37,18.16,68.33,0.0,0,0.0,17,3,0.06269592476489028
KAJ Roach (WI),2009-2013,5,10,1.9,9,19.00,48.71,0.0,0,0.0,1,0,0.02564102564102564
SK Raina (INDIA),2009-2012,4,12,28.25,71,37.66,103.03,0.0,3,0.25,26,9,0.10638297872340426
TT Bresnan (ENG),2009-2011,3,14,23.428571428571427,80,41.00,89.13,0.0,1,0.07142857142857142,39,0,0.10597826086956522
CH Gayle (WI),2003-2005,3,10,30.3,84,30.30,77.09,0.0,2,0.2,37,3,0.10178117048346055
V Sehwag (INDIA),2001-2004,4,11,24.545454545454547,82,24.54,85.44,0.0,2,0.18181818181818182,33,5,0.12025316455696203
Abdul Razzaq (PAK),2002-2005,4,11,24.272727272727273,63,26.70,89.00,0.0,2,0.18181818181818182,16,8,0.08
LJ Wright (ENG),2009-2011,3,12,21.0,48,21.00,79.74,0.0,0,0.0,21,4,0.07911392405063292
Younis Khan (PAK),2001-2003,3,10,15.2,56,16.88,60.31,0.0,1,0.1,13,0,0.051587301587301584
DL Vettori (NZ),2002-2004,3,10,12.8,33,16.00,75.73,0.0,0,0.0,10,0,0.05917159763313609
Z Khan (INDIA),2001-2003,3,10,6.4,29,10.66,84.21,0.0,0,0.0,6,1,0.09210526315789473
KC Sangakkara (SL),2002-2004,3,12,42.25,101,50.70,73.58,0.08333333333333333,1,0.08333333333333333,51,2,0.07692307692307693
KP Pietersen (ENG/ICC),2005-2007,3,10,41.0,104,45.55,89.71,0.1,3,0.3,30,11,0.08971553610503283
MS Dhoni (INDIA),2006-2008,3,14,28.928571428571427,58,36.81,74.44,0.0,2,0.14285714285714285,28,6,0.0625
DPMD Jayawardene (SL),2002-2004,3,12,28.75,80,34.50,67.64,0.0,3,0.25,24,0,0.047058823529411764
WU Tharanga (SL),2008-2011,4,10,29.9,111,33.22,67.64,0.1,1,0.1,32,0,0.07239819004524888
KD Mills (NZ),2002-2005,4,10,9.4,44,15.66,83.18,0.0,0,0.0,2,5,0.061946902654867256
