Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50,50/I,4,6,6+4/BF
SPD Smith (AUS),2010-2012,3,12,18.666666666666668,46,24.88,91.42,0.0,0,0.0,19,2,0.08571428571428572
V Kohli (INDIA),2011-2013,3,17,39.411764705882355,112,47.85,89.09,0.11764705882352941,3,0.17647058823529413,65,5,0.09308510638297872
SK Raina (INDIA),2008-2011,4,13,36.76923076923077,84,39.83,105.28,0.0,4,0.3076923076923077,44,14,0.1277533039647577
GC Smith (SA),2003-2005,3,11,36.27272727272727,115,39.90,76.73,0.18181818181818182,0,0.0,41,0,0.07884615384615384
AM Rahane (INDIA),2011-2013,3,13,30.076923076923077,91,30.07,74.19,0.0,2,0.15384615384615385,39,3,0.07969639468690702
Yuvraj Singh (INDIA),2003-2006,4,11,31.181818181818183,103,38.11,89.79,0.09090909090909091,1,0.09090909090909091,37,4,0.10732984293193717
RA Jadeja (INDIA),2011-2013,3,11,28.454545454545453,78,52.16,97.81,0.0,2,0.18181818181818182,28,8,0.1125
DD Ebrahim (ZIM),2001-2004,4,13,20.46153846153846,65,20.46,59.77,0.0,1,0.07692307692307693,13,0,0.029213483146067417
Shoaib Malik (PAK),2003-2006,4,11,13.363636363636363,50,14.70,64.75,0.0,1,0.09090909090909091,5,0,0.022026431718061675
V Sehwag (INDIA),2002-2004,3,15,38.13333333333333,126,38.13,103.06,0.06666666666666667,3,0.2,89,4,0.16756756756756758
DJ Bravo (WI),2006-2009,4,10,39.4,112,43.77,95.16,0.1,2,0.2,42,8,0.12077294685990338
LRPL Taylor (NZ),2007-2009,3,15,21.333333333333332,71,24.61,68.81,0.0,1,0.06666666666666667,30,4,0.07311827956989247
MJ Clarke (AUS),2004-2007,4,10,23.8,57,26.44,67.61,0.0,1,0.1,16,2,0.05113636363636364
CL White (AUS),2007-2010,4,13,32.53846153846154,105,38.45,81.81,0.07692307692307693,2,0.15384615384615385,44,4,0.09284332688588008
RR Sarwan (WI),2004-2007,4,11,36.45454545454545,104,50.12,90.51,0.09090909090909091,2,0.18181818181818182,39,3,0.09480812641083522
TD Paine (AUS),2009-2011,3,14,28.142857142857142,111,28.14,68.88,0.07142857142857142,2,0.14285714285714285,50,1,0.08916083916083917
Abdul Razzaq (PAK),2003-2006,4,11,24.363636363636363,75,33.50,107.63,0.0,3,0.2727272727272727,23,10,0.13253012048192772
KC Sangakkara (SL),2001-2004,4,10,20.1,70,25.12,70.27,0.0,2,0.2,17,0,0.05944055944055944
R Ashwin (INDIA),2011-2013,3,10,8.6,36,12.28,126.47,0.0,0,0.0,9,1,0.14705882352941177
