Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50,50/I,4,6,6+4/BF
Salman Butt (PAK),2004-2008,5,20,45.9,129,51.00,82.85,0.25,1,0.05,120,4,0.11191335740072202
CK Kapugedera (SL),2008-2010,3,23,23.565217391304348,75,25.80,68.78,0.0,3,0.13043478260869565,35,5,0.050761421319796954
LD Chandimal (SL),2010-2013,4,13,30.384615384615383,111,35.90,79.63,0.07692307692307693,2,0.15384615384615385,24,7,0.0625
HDRL Thirimanne (SL),2010-2013,4,10,30.4,77,30.40,73.25,0.0,2,0.2,20,4,0.05783132530120482
DD Ebrahim (ZIM),2001-2004,4,12,19.583333333333332,42,21.36,56.22,0.0,0,0.0,18,0,0.0430622009569378
NLTC Perera (SL),2009-2012,4,14,16.642857142857142,44,21.18,134.68,0.0,0,0.0,24,5,0.1676300578034682
BB McCullum (NZ),2002-2005,4,11,17.363636363636363,49,21.22,70.22,0.0,0,0.0,20,3,0.08455882352941177
MF Maharoof (SL),2005-2008,4,10,14.5,33,20.71,69.37,0.0,0,0.0,12,3,0.07177033492822966
Shoaib Malik (PAK),2004-2006,3,22,47.0,143,49.23,90.14,0.09090909090909091,8,0.36363636363636365,106,11,0.1020052310374891
DM Bravo (WI),2011-2013,3,13,36.69230769230769,86,43.36,72.71,0.0,6,0.46153846153846156,40,12,0.07926829268292683
WU Tharanga (SL),2006-2010,5,12,34.583333333333336,118,34.58,82.83,0.08333333333333333,3,0.25,43,7,0.0998003992015968
AD Mathews (SL),2009-2012,4,13,24.46153846153846,75,31.80,91.64,0.0,1,0.07692307692307693,20,4,0.069164265129683
Kamran Akmal (PAK),2004-2006,3,12,19.166666666666668,41,23.00,85.18,0.0,0,0.0,27,1,0.1037037037037037
RR Sarwan (WI),2002-2006,5,12,59.083333333333336,115,101.28,79.66,0.08333333333333333,6,0.5,49,10,0.06629213483146068
Shahid Afridi (PAK),2003-2006,4,15,27.133333333333333,102,27.13,149.63,0.06666666666666667,1,0.06666666666666667,46,21,0.24632352941176472
Abdul Razzaq (PAK),2003-2005,3,16,23.875,88,34.72,95.26,0.0,2,0.125,35,5,0.09975062344139651
MJ Clarke (AUS),2003-2006,4,10,31.5,64,45.00,99.05,0.0,2,0.2,28,2,0.09433962264150944
DPMD Jayawardene (SL),2001-2003,3,10,31.5,77,31.50,61.88,0.0,3,0.3,19,0,0.03732809430255403
C Kieswetter (ENG),2011-2013,3,13,24.076923076923077,63,26.08,100.96,0.0,2,0.15384615384615385,34,13,0.15161290322580645
GC Smith (SA),2003-2006,4,10,29.2,134,32.44,92.69,0.1,1,0.1,39,4,0.1365079365079365
DJ Bravo (WI),2006-2009,4,12,18.666666666666668,62,24.88,89.95,0.0,2,0.16666666666666666,17,2,0.07630522088353414
L Vincent (NZ),2001-2003,3,10,22.0,53,27.50,65.08,0.0,1,0.1,18,3,0.0621301775147929
BAW Mendis (SL),2008-2010,3,10,4.1,8,5.85,53.24,0.0,0,0.0,2,0,0.025974025974025976
CH Gayle (WI),2002-2006,5,14,54.357142857142854,140,54.35,89.00,0.2857142857142857,2,0.14285714285714285,95,17,0.13099415204678364
IR Bell (ENG),2006-2008,3,14,42.0,126,45.23,86.98,0.07142857142857142,2,0.14285714285714285,68,4,0.10650887573964497
A Flintoff (ENG),2002-2004,3,12,38.083333333333336,99,41.54,104.33,0.0,4,0.3333333333333333,39,16,0.12557077625570776
RS Bopara (ENG),2008-2011,4,14,29.928571428571427,96,34.91,86.21,0.0,3,0.21428571428571427,36,6,0.08641975308641975
AB de Villiers (SA),2007-2011,5,11,35.81818181818182,114,43.77,103.68,0.18181818181818182,1,0.09090909090909091,42,6,0.12631578947368421
KA Pollard (WI),2011-2013,3,13,25.076923076923077,119,27.16,91.57,0.07692307692307693,1,0.07692307692307693,18,18,0.10112359550561797
JP Duminy (SA),2007-2011,5,10,31.8,73,35.33,83.90,0.0,3,0.3,14,3,0.044854881266490766
AN Cook (ENG),2008-2011,4,11,28.454545454545453,80,31.30,89.17,0.0,4,0.36363636363636365,34,1,0.09971509971509972
MJ Prior (ENG),2006-2008,3,17,17.647058823529413,46,18.75,72.11,0.0,0,0.0,37,1,0.09134615384615384
SR Patel (ENG),2008-2011,4,10,25.4,70,31.75,92.70,0.0,1,0.1,16,8,0.08759124087591241
KMDN Kulasekara (SL),2007-2009,3,12,12.416666666666666,39,29.80,72.33,0.0,0,0.0,12,2,0.06796116504854369
JM Anderson (ENG),2006-2008,3,11,1.9090909090909092,12,5.25,61.76,0.0,0,0.0,2,0,0.058823529411764705
