Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50,50/I,4,6,6+4/BF
Abdul Razzaq (PAK),2001-2003,3,14,29.214285714285715,86,40.90,75.74,0.0,2,0.14285714285714285,28,11,0.07222222222222222
WU Tharanga (SL),2005-2007,3,11,36.72727272727273,103,36.72,73.05,0.09090909090909091,3,0.2727272727272727,51,1,0.09403254972875226
Shakib Al Hasan (BDESH),2007-2010,4,14,23.5,106,27.41,75.28,0.07142857142857142,1,0.07142857142857142,32,1,0.07551487414187644
Shoaib Malik (PAK),2002-2004,3,14,22.285714285714285,115,26.00,76.09,0.07142857142857142,1,0.07142857142857142,35,2,0.09024390243902439
Mushfiqur Rahim (BDESH),2007-2010,4,12,18.5,86,20.18,57.06,0.0,1,0.08333333333333333,16,4,0.05141388174807198
Junaid Siddique (BDESH),2007-2010,4,10,21.8,85,21.80,56.47,0.0,1,0.1,20,0,0.05181347150259067
Yuvraj Singh (INDIA),2002-2005,4,13,16.384615384615383,54,17.75,54.89,0.0,1,0.07692307692307693,22,1,0.059278350515463915
D Ramdin (WI),2006-2009,4,10,14.7,38,21.00,87.50,0.0,0,0.0,16,0,0.09523809523809523
Imran Farhat (PAK),2003-2006,4,11,46.0,107,46.00,76.78,0.09090909090909091,4,0.36363636363636365,56,7,0.09559939301972686
MJ Clarke (AUS),2003-2005,3,12,37.083333333333336,82,49.44,87.77,0.0,4,0.3333333333333333,46,3,0.09664694280078895
GC Smith (SA),2003-2005,3,12,36.666666666666664,80,36.66,76.92,0.0,3,0.25,60,2,0.10839160839160839
V Sehwag (INDIA),2001-2003,3,11,39.36363636363637,112,39.36,84.24,0.2727272727272727,0,0.0,56,6,0.12062256809338522
M Kaif (INDIA),2002-2005,4,13,31.23076923076923,102,45.11,66.44,0.07692307692307693,3,0.23076923076923078,41,0,0.06710310965630115
DPMD Jayawardene (SL),2001-2003,3,14,32.07142857142857,116,34.53,69.72,0.07142857142857142,1,0.07142857142857142,39,2,0.06366459627329192
Mohammad Ashraful (BDESH),2007-2010,4,10,24.6,70,27.33,72.56,0.0,2,0.2,26,2,0.08259587020648967
CL White (AUS),2005-2009,5,10,16.6,45,27.66,122.05,0.0,0,0.0,7,9,0.11764705882352941
KC Sangakkara (SL),2001-2003,3,12,13.583333333333334,50,14.81,67.35,0.0,1,0.08333333333333333,18,2,0.08264462809917356
Z Khan (INDIA),2001-2003,3,10,12.0,34,20.00,80.00,0.0,0,0.0,12,3,0.1
AD Mathews (SL),2010-2013,4,10,20.1,74,50.25,90.95,0.0,2,0.2,22,2,0.1085972850678733
