Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50,50/I,4,6,6+4/BF
Yuvraj Singh (INDIA),2003-2005,3,16,25.5,78,29.14,91.47,0.0,3,0.1875,51,3,0.1210762331838565
IK Pathan (INDIA),2004-2008,5,13,24.46153846153846,65,39.75,90.85,0.0,2,0.15384615384615385,28,9,0.10571428571428572
CK Kapugedera (SL),2007-2010,4,13,20.846153846153847,67,24.63,70.57,0.0,1,0.07692307692307693,25,5,0.078125
Shakib Al Hasan (BDESH),2008-2012,5,11,37.0,108,37.00,77.82,0.09090909090909091,3,0.2727272727272727,31,1,0.06118546845124283
LD Chandimal (SL),2011-2013,3,15,26.066666666666666,64,27.92,70.07,0.0,2,0.13333333333333333,23,7,0.053763440860215055
WU Tharanga (SL),2006-2009,4,11,33.45454545454545,80,33.45,73.01,0.0,2,0.18181818181818182,46,1,0.09325396825396826
M Kaif (INDIA),2003-2005,3,16,22.25,78,25.42,73.70,0.0,2,0.125,32,0,0.06625258799171843
MJ Guptill (NZ),2009-2011,3,10,35.1,65,39.00,80.13,0.0,3,0.3,34,7,0.09360730593607305
DA Miller (SA),2010-2013,4,14,17.857142857142858,67,20.83,77.16,0.0,1,0.07142857142857142,20,2,0.06790123456790123
DM Bravo (WI),2011-2013,3,11,21.90909090909091,67,21.90,58.07,0.0,2,0.18181818181818182,20,2,0.05301204819277108
AD Mathews (SL),2009-2011,3,10,23.5,61,29.37,71.21,0.0,2,0.2,15,3,0.05454545454545454
L Vincent (NZ),2001-2003,3,13,17.076923076923077,34,22.20,53.36,0.0,0,0.0,19,1,0.04807692307692308
NLTC Perera (SL),2011-2013,3,12,9.916666666666666,25,10.81,85.61,0.0,0,0.0,7,4,0.07913669064748201
JDP Oram (NZ),2001-2003,3,10,7.5,16,8.33,57.69,0.0,0,0.0,9,2,0.08461538461538462
CH Gayle (WI),2002-2005,4,10,41.2,124,41.20,93.42,0.1,3,0.3,53,4,0.1292517006802721
DPMD Jayawardene (SL),2001-2003,3,13,29.76923076923077,84,32.25,77.09,0.0,2,0.15384615384615385,28,7,0.0697211155378486
KC Sangakkara (SL),2001-2003,3,12,19.333333333333332,100,21.09,60.73,0.08333333333333333,0,0.0,24,0,0.06282722513089005
Mahmudullah (BDESH),2008-2011,4,11,18.545454545454547,58,25.50,52.84,0.0,1,0.09090909090909091,16,0,0.04145077720207254
DR Tuffey (NZ),2001-2004,4,11,4.363636363636363,18,8.00,58.53,0.0,0,0.0,6,0,0.07317073170731707
MS Dhoni (INDIA),2005-2008,4,21,43.666666666666664,148,57.31,97.76,0.047619047619047616,7,0.3333333333333333,90,16,0.11300639658848614
V Sehwag (INDIA),2003-2005,3,16,31.5625,108,31.56,105.87,0.0625,3,0.1875,70,9,0.16561844863731656
AB de Villiers (SA),2007-2010,4,10,38.2,103,47.75,80.59,0.1,2,0.2,30,3,0.06962025316455696
G Gambhir (INDIA),2006-2008,3,12,29.0,62,29.00,84.26,0.0,2,0.16666666666666666,44,1,0.1089588377723971
