Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50,50/I,4,6,6+4/BF
RR Sarwan (WI),2002-2005,4,12,35.0,77,42.00,73.94,0.0,3,0.25,26,8,0.05985915492957746
CH Gayle (WI),2001-2004,4,14,27.142857142857142,152,29.23,74.36,0.07142857142857142,1,0.07142857142857142,43,7,0.09784735812133072
DJ Bravo (WI),2005-2008,4,12,18.083333333333332,41,21.70,80.37,0.0,0,0.0,17,1,0.06666666666666667
KC Sangakkara (SL),2001-2003,3,13,24.692307692307693,77,29.18,69.48,0.0,2,0.15384615384615385,33,1,0.0735930735930736
RL Powell (WI),2001-2004,4,11,22.181818181818183,50,27.11,105.62,0.0,1,0.09090909090909091,26,7,0.14285714285714285
DPMD Jayawardene (SL),2001-2003,3,13,17.23076923076923,37,18.66,65.11,0.0,0,0.0,16,1,0.04941860465116279
BB McCullum (NZ),2004-2007,4,10,17.0,41,24.28,81.33,0.0,0,0.0,13,3,0.07655502392344497
L Vincent (NZ),2002-2005,4,10,29.1,90,29.10,70.80,0.0,2,0.2,30,6,0.08759124087591241
Abdul Razzaq (PAK),2002-2006,5,10,24.6,112,27.33,79.61,0.1,0,0.0,25,2,0.08737864077669903
DJG Sammy (WI),2008-2010,3,10,18.0,58,22.50,118.42,0.0,2,0.2,8,12,0.13157894736842105
DL Vettori (NZ),2002-2005,4,10,6.1,20,8.71,66.30,0.0,0,0.0,4,0,0.043478260869565216
