Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50,50/I,4,6,6+4/BF
V Kohli (INDIA),2009-2012,4,24,51.125,133,61.35,89.10,0.20833333333333334,6,0.25,114,5,0.08641975308641975
SK Raina (INDIA),2008-2010,3,25,29.96,106,32.56,84.92,0.04,5,0.2,61,12,0.08276643990929705
RG Sharma (INDIA),2008-2010,3,21,23.666666666666668,101,33.13,83.81,0.047619047619047616,2,0.09523809523809523,36,4,0.06745362563237774
Umar Akmal (PAK),2010-2013,4,14,30.285714285714285,91,47.11,88.14,0.0,4,0.2857142857142857,40,7,0.09771309771309772
Yuvraj Singh (INDIA),2002-2005,4,15,24.266666666666666,79,28.00,70.95,0.0,2,0.13333333333333333,35,4,0.07602339181286549
Mohammad Ashraful (BDESH),2004-2008,5,14,25.571428571428573,66,27.53,62.36,0.0,3,0.21428571428571427,40,1,0.07142857142857142
GC Smith (SA),2002-2004,3,11,31.545454545454547,99,31.54,73.51,0.0,1,0.09090909090909091,34,2,0.07627118644067797
RA Jadeja (INDIA),2009-2012,4,12,22.25,60,38.14,83.43,0.0,1,0.08333333333333333,14,4,0.05625
IK Pathan (INDIA),2005-2008,4,11,20.727272727272727,83,22.80,91.56,0.0,1,0.09090909090909091,25,6,0.12449799196787148
Abdul Razzaq (PAK),2001-2003,3,11,19.636363636363637,56,30.85,69.67,0.0,1,0.09090909090909091,11,6,0.054838709677419356
Shahriar Nafees (BDESH),2005-2007,3,10,18.5,51,18.50,59.67,0.0,1,0.1,25,0,0.08064516129032258
Mushfiqur Rahim (BDESH),2007-2010,4,10,15.8,44,15.80,70.22,0.0,0,0.0,12,2,0.06222222222222222
DD Ebrahim (ZIM),2001-2004,4,10,14.9,50,16.55,49.83,0.0,1,0.1,10,0,0.033444816053511704
MJ Clarke (AUS),2004-2006,3,11,32.18181818181818,80,59.00,96.72,0.0,3,0.2727272727272727,24,2,0.07103825136612021
Shoaib Malik (PAK),2003-2006,4,10,35.2,86,44.00,78.22,0.0,2,0.2,25,2,0.06
M Kaif (INDIA),2002-2005,4,12,21.416666666666668,41,28.55,71.19,0.0,0,0.0,19,0,0.05263157894736842
JDP Oram (NZ),2001-2003,3,13,16.384615384615383,59,17.75,77.17,0.0,1,0.07692307692307693,12,11,0.08333333333333333
V Sehwag (INDIA),2001-2003,3,10,19.8,66,24.75,88.39,0.0,1,0.1,25,4,0.12946428571428573
Shahid Afridi (PAK),2001-2004,4,13,14.307692307692308,35,14.30,105.08,0.0,0,0.0,12,10,0.12429378531073447
L Vincent (NZ),2001-2003,3,10,15.8,32,17.55,52.84,0.0,0,0.0,10,0,0.033444816053511704
MS Dhoni (INDIA),2005-2007,3,11,44.54545454545455,183,61.25,102.51,0.09090909090909091,2,0.18181818181818182,34,17,0.10669456066945607
Younis Khan (PAK),2001-2003,3,15,28.4,66,35.50,78.74,0.0,3,0.2,28,6,0.06284658040665435
HH Dippenaar (SA),2001-2003,3,11,38.18181818181818,89,38.18,65.83,0.0,4,0.36363636363636365,38,4,0.06583072100313479
G Gambhir (INDIA),2005-2008,4,12,38.0,103,45.60,88.71,0.16666666666666666,2,0.16666666666666666,54,2,0.10894941634241245
CD McMillan (NZ),2001-2003,3,13,21.846153846153847,61,21.84,69.26,0.0,1,0.07692307692307693,15,4,0.046341463414634146
H Masakadza (ZIM),2006-2010,5,10,23.5,77,23.50,67.52,0.0,2,0.2,23,3,0.07471264367816093
