Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50,50/I,4,6,6+4/BF
Q de Kock (SA),2014-2017,4,72,42.56944444444444,178,45.74,96.80,0.125,15,0.20833333333333334,350,46,0.12507896399241947
Babar Azam (PAK),2015-2017,3,35,50.22857142857143,125,58.60,85.88,0.2,7,0.2,137,17,0.07523204689789936
Ahmed Shehzad (PAK),2014-2016,3,35,34.97142857142857,113,34.97,75.55,0.05714285714285714,8,0.22857142857142856,136,5,0.08703703703703704
MR Marsh (AUS),2014-2016,3,35,32.05714285714286,102,40.07,93.65,0.02857142857142857,8,0.22857142857142856,99,27,0.10517529215358931
TWM Latham (NZ),2014-2017,4,40,27.175,137,31.05,80.39,0.05,5,0.125,104,12,0.08579881656804733
N Dickwella (SL),2014-2017,4,31,32.54838709677419,116,33.63,93.86,0.06451612903225806,5,0.16129032258064516,113,7,0.11162790697674418
Soumya Sarkar (BDESH),2014-2017,4,31,31.193548387096776,127,34.53,96.60,0.03225806451612903,6,0.1935483870967742,122,19,0.14085914085914086
Rahmat Shah (AFG),2014-2017,4,28,34.035714285714285,108,36.65,68.21,0.07142857142857142,6,0.21428571428571427,62,12,0.052970651395848244
Najibullah Zadran (AFG),2014-2017,4,31,21.967741935483872,89,23.48,83.66,0.0,5,0.16129032258064516,54,30,0.10319410319410319
Sabbir Rahman (BDESH),2014-2016,3,25,24.92,65,29.66,95.11,0.0,3,0.12,63,15,0.11908396946564885
BA Stokes (ENG),2014-2016,3,28,21.357142857142858,70,23.00,94.47,0.0,4,0.14285714285714285,54,14,0.10742496050552923
Javed Ahmadi (AFG),2014-2016,3,19,26.68421052631579,81,26.68,82.84,0.0,5,0.2631578947368421,62,6,0.1111111111111111
MH Cross (SCOT),2014-2017,4,26,18.23076923076923,91,18.23,75.00,0.0,2,0.07692307692307693,51,5,0.08860759493670886
Nizakat Khan (HKG),2014-2017,4,12,39.0,94,39.00,84.93,0.0,2,0.16666666666666666,42,15,0.10344827586206896
JO Holder (WI),2014-2016,3,25,18.68,57,25.94,99.57,0.0,2,0.08,40,17,0.12153518123667377
Mohammad Rizwan (PAK),2015-2017,3,22,20.90909090909091,75,28.75,89.84,0.0,3,0.13636363636363635,38,5,0.083984375
MW Machan (SCOT),2014-2016,3,14,31.785714285714285,86,31.78,78.48,0.0,3,0.21428571428571427,41,3,0.07760141093474426
Nasir Hossain (BDESH),2014-2016,3,22,20.136363636363637,41,22.15,78.96,0.0,0,0.0,37,5,0.0748663101604278
Babar Hayat (HKG),2014-2016,3,12,35.416666666666664,82,38.63,80.79,0.0,5,0.4166666666666667,43,14,0.10836501901140684
MJ Santner (NZ),2015-2017,3,22,16.90909090909091,48,26.57,90.95,0.0,0,0.0,27,10,0.09046454767726161
L Siaka (PNG),2014-2017,4,13,22.153846153846153,109,22.15,80.00,0.07692307692307693,0,0.0,27,7,0.09444444444444444
Afsar Zazai (AFG),2014-2017,4,16,16.5,60,17.60,54.09,0.0,2,0.125,15,0,0.030737704918032786
GH Dockrell (IRE),2014-2017,4,24,10.5,28,14.82,66.14,0.0,0,0.0,16,4,0.05249343832020997
Aizaz Khan (HKG),2014-2017,4,10,21.0,44,26.25,78.06,0.0,0,0.0,12,6,0.06691449814126393
AR Patel (INDIA),2014-2017,4,20,9.05,38,12.92,95.26,0.0,0,0.0,8,8,0.08421052631578947
AR McBrine (IRE),2014-2017,4,12,14.583333333333334,79,21.87,88.38,0.0,1,0.08333333333333333,13,4,0.08585858585858586
MJ Henry (NZ),2014-2016,3,13,12.692307692307692,48,20.62,104.43,0.0,0,0.0,15,7,0.13924050632911392
Liton Das (BDESH),2015-2017,3,12,13.75,36,15.00,76.74,0.0,0,0.0,18,3,0.09767441860465116
K Rabada (SA),2015-2017,3,16,10.0,26,20.00,83.76,0.0,0,0.0,14,3,0.08900523560209424
AF Milne (NZ),2014-2016,3,11,10.727272727272727,36,19.66,91.47,0.0,0,0.0,6,3,0.06976744186046512
PJ Cummins (AUS),2014-2017,4,14,7.642857142857143,36,11.88,68.15,0.0,0,0.0,8,3,0.07006369426751592
N Madziva (ZIM),2014-2016,3,12,5.583333333333333,25,7.44,48.55,0.0,0,0.0,6,0,0.043478260869565216
Taskin Ahmed (BDESH),2015-2017,3,11,3.6363636363636362,14,5.00,43.01,0.0,0,0.0,2,0,0.021505376344086023
PKD Chase (IRE),2015-2017,3,14,2.2142857142857144,14,3.44,59.61,0.0,0,0.0,2,1,0.057692307692307696
