Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50,50/I,4,6,6+4/BF
V Kohli (INDIA),2009-2012,4,82,45.451219512195124,183,53.24,87.54,0.15853658536585366,20,0.24390243902439024,345,19,0.08550622504110876
Yuvraj Singh (INDIA),2002-2005,4,99,29.68686868686869,139,34.57,85.48,0.050505050505050504,18,0.18181818181818182,306,35,0.09918557300756253
Shoaib Malik (PAK),2002-2005,4,81,30.790123456790123,143,34.16,78.79,0.04938271604938271,16,0.19753086419753085,204,28,0.07330173775671406
CH Gayle (WI),2001-2003,3,57,42.36842105263158,152,42.36,80.31,0.08771929824561403,17,0.2982456140350877,296,37,0.11074160292650483
Shakib Al Hasan (BDESH),2007-2011,5,83,27.180722891566266,108,30.90,79.74,0.04819277108433735,15,0.18072289156626506,199,18,0.0767055496641923
WU Tharanga (Asia/SL),2005-2009,5,73,29.835616438356166,120,30.25,70.41,0.0821917808219178,9,0.1232876712328767,259,5,0.08535402521823472
Salman Butt (PAK),2004-2008,5,54,39.01851851851852,136,41.31,78.64,0.12962962962962962,9,0.16666666666666666,265,7,0.1015304217991788
Tamim Iqbal (BDESH),2009-2012,4,65,32.184615384615384,154,32.68,88.19,0.03076923076923077,16,0.24615384615384617,224,34,0.1087689713322091
Mohammad Ashraful (Asia/BDESH),2004-2008,5,88,23.488636363636363,109,26.16,73.97,0.022727272727272728,11,0.125,210,17,0.0812455261274159
AB de Villiers (Afr/SA),2005-2008,4,62,32.87096774193548,146,36.39,86.02,0.04838709677419355,12,0.1935483870967742,231,38,0.11355002110595187
GC Smith (SA),2002-2005,4,56,35.642857142857146,99,36.96,73.84,0.0,15,0.26785714285714285,231,4,0.08694043655197928
SK Raina (INDIA),2007-2010,4,60,32.1,116,40.97,97.27,0.05,13,0.21666666666666667,161,52,0.10757575757575757
RR Sarwan (WI),2001-2004,4,57,33.63157894736842,104,46.75,78.75,0.03508771929824561,9,0.15789473684210525,160,18,0.07313064913722268
Umar Akmal (PAK),2010-2013,4,63,29.714285714285715,91,35.32,85.75,0.0,13,0.20634920634920634,157,32,0.08657810352725608
Shahriar Nafees (BDESH),2005-2008,4,60,30.95,123,33.76,69.68,0.06666666666666667,10,0.16666666666666666,232,7,0.08968105065666042
BRM Taylor (ZIM),2006-2009,4,62,29.596774193548388,118,34.62,72.27,0.016129032258064516,12,0.1935483870967742,138,34,0.0677432059866089
E Chigumbura (Afr/ZIM),2006-2010,5,78,22.705128205128204,79,24.94,81.50,0.0,10,0.1282051282051282,130,59,0.08697653014265992
Abdul Razzaq (PAK),2001-2003,3,67,24.223880597014926,112,31.82,80.82,0.014925373134328358,7,0.1044776119402985,124,40,0.08167330677290836
M Kaif (INDIA),2002-2004,3,66,23.87878787878788,111,30.90,73.57,0.015151515151515152,9,0.13636363636363635,127,9,0.06349206349206349
LD Chandimal (SL),2010-2013,4,61,25.39344262295082,111,30.37,73.20,0.03278688524590164,9,0.14754098360655737,118,19,0.06474480151228733
MJ Clarke (AUS),2003-2005,3,45,33.333333333333336,105,45.45,89.02,0.044444444444444446,8,0.17777777777777778,148,8,0.09258160237388724
EJG Morgan (ENG/IRE),2007-2010,4,49,30.081632653061224,115,37.79,80.10,0.061224489795918366,8,0.16326530612244897,133,35,0.09130434782608696
Aftab Ahmed (BDESH),2006-2008,3,58,24.689655172413794,92,26.51,90.00,0.0,11,0.1896551724137931,147,42,0.11879321181646763
Mushfiqur Rahim (BDESH),2007-2011,5,68,19.83823529411765,98,23.66,69.00,0.0,6,0.08823529411764706,106,15,0.061892583120204604
Raqibul Hasan (BDESH),2008-2011,4,54,24.22222222222222,89,27.82,61.32,0.0,8,0.14814814814814814,102,8,0.051570557899671826
KS Williamson (NZ),2010-2013,4,42,30.357142857142858,145,35.41,77.22,0.07142857142857142,6,0.14285714285714285,102,8,0.06662628709872805
RG Sharma (INDIA),2007-2011,5,57,21.894736842105264,114,27.13,75.72,0.03508771929824561,5,0.08771929824561403,90,12,0.061893203883495146
CK Kapugedera (SL),2007-2011,5,57,21.736842105263158,95,24.29,71.24,0.0,6,0.10526315789473684,85,22,0.06152961472110408
MN Samuels (WI),2001-2005,5,45,27.42222222222222,108,33.35,77.85,0.022222222222222223,8,0.17777777777777778,127,19,0.09211356466876972
V Sibanda (Afr/ZIM),2003-2007,5,53,22.9811320754717,116,23.88,61.95,0.018867924528301886,8,0.1509433962264151,142,10,0.07731434384537131
Shahid Afridi (PAK),2001-2003,3,55,22.072727272727274,108,23.34,109.66,0.01818181818181818,8,0.14545454545454545,105,72,0.15989159891598917
Junaid Siddique (BDESH),2007-2011,5,53,22.566037735849058,100,23.00,68.22,0.018867924528301886,6,0.11320754716981132,118,7,0.0713063320022818
DD Ebrahim (ZIM),2001-2004,4,63,18.46031746031746,121,19.71,57.34,0.015873015873015872,2,0.031746031746031744,88,0,0.04339250493096647
S Matsikenyeri (ZIM),2003-2007,5,58,19.844827586206897,89,21.31,65.99,0.0,5,0.08620689655172414,127,5,0.07568807339449542
IK Pathan (INDIA),2004-2008,5,58,19.844827586206897,83,24.48,78.78,0.0,5,0.08620689655172414,111,29,0.09582477754962354
DM Bravo (WI),2009-2013,5,44,24.954545454545453,86,28.89,67.69,0.0,7,0.1590909090909091,90,23,0.06966707768187423
T Taibu (Afr/ZIM),2003-2005,3,47,22.51063829787234,96,25.19,62.27,0.0,5,0.10638297872340426,72,12,0.049440847557386695
PR Stirling (IRE),2010-2013,4,27,38.851851851851855,177,38.85,105.11,0.18518518518518517,1,0.037037037037037035,118,29,0.14729458917835672
JA Rudolph (SA),2003-2005,3,31,32.29032258064516,81,38.50,70.64,0.0,6,0.1935483870967742,94,5,0.06986591390261115
LRPL Taylor (NZ),2006-2008,3,34,29.294117647058822,128,35.57,82.24,0.058823529411764705,4,0.11764705882352941,98,19,0.09661436829066887
DJ Bravo (WI),2004-2007,4,55,18.036363636363635,112,24.19,79.10,0.01818181818181818,2,0.03636363636363636,85,8,0.07416267942583732
HDRL Thirimanne (SL),2010-2013,4,38,26.05263157894737,102,29.11,67.71,0.02631578947368421,6,0.15789473684210525,68,8,0.05198358413132695
AA Obanda (KENYA),2008-2011,4,34,27.735294117647058,96,28.57,73.84,0.0,6,0.17647058823529413,86,35,0.0947533281127643
SC Williams (ZIM),2006-2009,4,36,25.805555555555557,75,30.96,72.46,0.0,10,0.2777777777777778,71,5,0.059282371294851796
Imrul Kayes (BDESH),2008-2010,3,30,29.8,101,29.80,65.35,0.03333333333333333,6,0.2,89,7,0.07017543859649122
RA Jadeja (INDIA),2009-2012,4,40,21.5,78,28.66,78.61,0.0,5,0.125,64,9,0.06672760511882998
BB McCullum (NZ),2002-2005,4,51,16.686274509803923,56,22.39,71.51,0.0,3,0.058823529411764705,73,13,0.07226890756302522
CJ Chibhabha (ZIM),2006-2010,5,41,20.170731707317074,73,20.17,58.69,0.0,6,0.14634146341463414,64,5,0.048970901348474094
AD Mathews (SL),2008-2011,4,32,24.875,77,34.60,85.13,0.0,6,0.1875,54,10,0.06844919786096257
RV Uthappa (INDIA),2006-2008,3,34,23.11764705882353,86,27.10,91.92,0.0,5,0.14705882352941177,94,16,0.1286549707602339
DR Smith (WI),2004-2007,4,52,14.76923076923077,68,15.36,101.58,0.0,2,0.038461538461538464,60,38,0.12962962962962962
Imran Farhat (PAK),2003-2006,4,22,34.54545454545455,107,36.19,72.58,0.045454545454545456,4,0.18181818181818182,90,8,0.0936007640878701
Mahmudullah (BDESH),2007-2010,4,33,22.90909090909091,64,34.36,71.93,0.0,4,0.12121212121212122,52,8,0.05708848715509039
RS Bopara (ENG),2007-2009,3,34,21.970588235294116,60,28.73,71.62,0.0,4,0.11764705882352941,70,8,0.07478427612655801
Kamran Akmal (PAK),2002-2005,4,28,26.285714285714285,124,32.00,91.65,0.10714285714285714,0,0.0,84,7,0.1133250311332503
Rajin Saleh (BDESH),2004-2006,3,35,21.02857142857143,108,21.64,53.84,0.02857142857142857,4,0.11428571428571428,72,3,0.0548646671543526
KA Pollard (WI),2008-2011,4,34,21.058823529411764,94,21.05,104.22,0.0,3,0.08823529411764706,45,33,0.11353711790393013
AN Cook (ENG),2006-2008,3,23,30.52173913043478,102,30.52,68.15,0.043478260869565216,3,0.13043478260869565,77,0,0.07475728155339806
H Masakadza (ZIM),2004-2007,4,36,19.333333333333332,75,20.47,64.44,0.0,5,0.1388888888888889,61,4,0.06018518518518518
Nasir Hossain (BDESH),2011-2013,3,20,34.45,100,45.93,82.02,0.05,4,0.2,62,9,0.08452380952380953
MF Maharoof (SL),2004-2008,5,47,14.595744680851064,69,19.60,84.06,0.0,2,0.0425531914893617,61,16,0.09436274509803921
WTS Porterfield (IRE),2006-2008,3,27,25.37037037037037,112,27.40,59.41,0.07407407407407407,2,0.07407407407407407,58,0,0.05030355594102342
Mashrafe Mortaza (Asia/BDESH),2004-2007,4,42,15.595238095238095,51,19.26,98.34,0.0,1,0.023809523809523808,49,28,0.11561561561561562
Mohammad Shahzad (AFG),2009-2011,3,16,40.75,118,43.46,91.57,0.1875,3,0.1875,75,6,0.11376404494382023
JP Duminy (SA),2004-2008,5,24,25.75,79,36.35,73.30,0.0,3,0.125,47,5,0.06168446026097272
KOA Powell (WI),2011-2013,3,20,30.7,83,30.70,79.43,0.0,5,0.25,70,9,0.10219922380336352
Imran Nazir (PAK),2002-2004,3,26,23.23076923076923,66,24.16,80.00,0.0,4,0.15384615384615385,82,3,0.11258278145695365
D Ramdin (WI),2005-2009,5,43,13.813953488372093,74,19.80,79.41,0.0,2,0.046511627906976744,53,1,0.07219251336898395
Naeem Islam (BDESH),2008-2010,3,33,16.484848484848484,73,28.63,65.14,0.0,1,0.030303030303030304,42,12,0.06467065868263473
