Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50/I,6+4/BF
V Kohli (INDIA),2009-2012,3,82,45.451219512195124,183,53.24,87.54,0.15853658536585366,0.24390243902439024,0.08550622504110876
Yuvraj Singh (INDIA),2002-2005,3,99,29.68686868686869,139,34.57,85.48,0.050505050505050504,0.18181818181818182,0.09918557300756253
Shoaib Malik (PAK),2002-2005,3,81,30.790123456790123,143,34.16,78.79,0.04938271604938271,0.19753086419753085,0.07330173775671406
Shakib Al Hasan (BDESH),2007-2011,4,83,27.180722891566266,108,30.90,79.74,0.04819277108433735,0.18072289156626506,0.0767055496641923
WU Tharanga (Asia/SL),2005-2009,4,73,29.835616438356166,120,30.25,70.41,0.0821917808219178,0.1232876712328767,0.08535402521823472
Umar Akmal (PAK),2010-2014,4,68,31.25,102,37.94,88.10,0.014705882352941176,0.22058823529411764,0.09038142620232173
Salman Butt (PAK),2004-2008,4,54,39.01851851851852,136,41.31,78.64,0.12962962962962962,0.16666666666666666,0.1015304217991788
Tamim Iqbal (BDESH),2009-2012,3,65,32.184615384615384,154,32.68,88.19,0.03076923076923077,0.24615384615384617,0.1087689713322091
Mohammad Ashraful (Asia/BDESH),2004-2008,4,88,23.488636363636363,109,26.16,73.97,0.022727272727272728,0.125,0.0812455261274159
AB de Villiers (Afr/SA),2005-2008,3,62,32.87096774193548,146,36.39,86.02,0.04838709677419355,0.1935483870967742,0.11355002110595187
GC Smith (SA),2002-2005,3,56,35.642857142857146,99,36.96,73.84,0.0,0.26785714285714285,0.08694043655197928
SK Raina (INDIA),2007-2010,3,60,32.1,116,40.97,97.27,0.05,0.21666666666666667,0.10757575757575757
RR Sarwan (WI),2001-2004,3,57,33.63157894736842,104,46.75,78.75,0.03508771929824561,0.15789473684210525,0.07313064913722268
Shahriar Nafees (BDESH),2005-2008,3,60,30.95,123,33.76,69.68,0.06666666666666667,0.16666666666666666,0.08968105065666042
BRM Taylor (ZIM),2006-2009,3,62,29.596774193548388,118,34.62,72.27,0.016129032258064516,0.1935483870967742,0.0677432059866089
E Chigumbura (Afr/ZIM),2006-2010,4,78,22.705128205128204,79,24.94,81.50,0.0,0.1282051282051282,0.08697653014265992
KS Williamson (NZ),2010-2014,4,49,34.673469387755105,145,39.51,79.06,0.061224489795918366,0.22448979591836735,0.06793857608189856
LD Chandimal (SL),2010-2013,3,61,25.39344262295082,111,30.37,73.20,0.03278688524590164,0.14754098360655737,0.06474480151228733
EJG Morgan (ENG/IRE),2007-2010,3,49,30.081632653061224,115,37.79,80.10,0.061224489795918366,0.16326530612244897,0.09130434782608696
Mushfiqur Rahim (BDESH),2007-2011,4,68,19.83823529411765,98,23.66,69.00,0.0,0.08823529411764706,0.061892583120204604
Raqibul Hasan (BDESH),2008-2011,3,54,24.22222222222222,89,27.82,61.32,0.0,0.14814814814814814,0.051570557899671826
RG Sharma (INDIA),2007-2011,4,57,21.894736842105264,114,27.13,75.72,0.03508771929824561,0.08771929824561403,0.061893203883495146
CK Kapugedera (SL),2007-2011,4,57,21.736842105263158,95,24.29,71.24,0.0,0.10526315789473684,0.06152961472110408
MN Samuels (WI),2001-2005,4,45,27.42222222222222,108,33.35,77.85,0.022222222222222223,0.17777777777777778,0.09211356466876972
V Sibanda (Afr/ZIM),2003-2007,4,53,22.9811320754717,116,23.88,61.95,0.018867924528301886,0.1509433962264151,0.07731434384537131
Junaid Siddique (BDESH),2007-2011,4,53,22.566037735849058,100,23.00,68.22,0.018867924528301886,0.11320754716981132,0.0713063320022818
DD Ebrahim (ZIM),2001-2004,3,63,18.46031746031746,121,19.71,57.34,0.015873015873015872,0.031746031746031744,0.04339250493096647
S Matsikenyeri (ZIM),2003-2007,4,58,19.844827586206897,89,21.31,65.99,0.0,0.08620689655172414,0.07568807339449542
IK Pathan (INDIA),2004-2008,4,58,19.844827586206897,83,24.48,78.78,0.0,0.08620689655172414,0.09582477754962354
DM Bravo (WI),2009-2013,4,44,24.954545454545453,86,28.89,67.69,0.0,0.1590909090909091,0.06966707768187423
PR Stirling (IRE),2010-2014,4,29,36.44827586206897,177,36.44,104.44,0.1724137931034483,0.034482758620689655,0.14723320158102768
DJ Bravo (WI),2004-2007,3,55,18.036363636363635,112,24.19,79.10,0.01818181818181818,0.03636363636363636,0.07416267942583732
HDRL Thirimanne (SL),2010-2013,3,38,26.05263157894737,102,29.11,67.71,0.02631578947368421,0.15789473684210525,0.05198358413132695
AA Obanda (KENYA),2008-2011,3,34,27.735294117647058,96,28.57,73.84,0.0,0.17647058823529413,0.0947533281127643
SC Williams (ZIM),2006-2009,3,36,25.805555555555557,75,30.96,72.46,0.0,0.2777777777777778,0.059282371294851796
Nasir Hossain (BDESH),2011-2014,3,31,29.483870967741936,100,35.15,78.58,0.03225806451612903,0.12903225806451613,0.07738607050730868
RA Jadeja (INDIA),2009-2012,3,40,21.5,78,28.66,78.61,0.0,0.125,0.06672760511882998
BB McCullum (NZ),2002-2005,3,51,16.686274509803923,56,22.39,71.51,0.0,0.058823529411764705,0.07226890756302522
CJ Chibhabha (ZIM),2006-2010,4,41,20.170731707317074,73,20.17,58.69,0.0,0.14634146341463414,0.048970901348474094
AD Mathews (SL),2008-2011,3,32,24.875,77,34.60,85.13,0.0,0.1875,0.06844919786096257
DR Smith (WI),2004-2007,3,52,14.76923076923077,68,15.36,101.58,0.0,0.038461538461538464,0.12962962962962962
KOA Powell (WI),2011-2014,3,26,29.5,83,29.50,81.85,0.0,0.2692307692307692,0.10885805763073639
Imran Farhat (PAK),2003-2006,3,22,34.54545454545455,107,36.19,72.58,0.045454545454545456,0.18181818181818182,0.0936007640878701
Mahmudullah (BDESH),2007-2010,3,33,22.90909090909091,64,34.36,71.93,0.0,0.12121212121212122,0.05708848715509039
Kamran Akmal (PAK),2002-2005,3,28,26.285714285714285,124,32.00,91.65,0.10714285714285714,0.0,0.1133250311332503
KA Pollard (WI),2008-2011,3,34,21.058823529411764,94,21.05,104.22,0.0,0.08823529411764706,0.11353711790393013
H Masakadza (ZIM),2004-2007,3,36,19.333333333333332,75,20.47,64.44,0.0,0.1388888888888889,0.06018518518518518
MF Maharoof (SL),2004-2008,4,47,14.595744680851064,69,19.60,84.06,0.0,0.0425531914893617,0.09436274509803921
Mashrafe Mortaza (Asia/BDESH),2004-2007,3,42,15.595238095238095,51,19.26,98.34,0.0,0.023809523809523808,0.11561561561561562
JP Duminy (SA),2004-2008,4,24,25.75,79,36.35,73.30,0.0,0.125,0.06168446026097272
D Ramdin (WI),2005-2009,4,43,13.813953488372093,74,19.80,79.41,0.0,0.046511627906976744,0.07219251336898395
RR Patel (KENYA),2009-2013,4,26,20.26923076923077,92,23.95,65.30,0.0,0.07692307692307693,0.07187112763320942
P Utseya (ZIM),2005-2009,4,53,9.679245283018869,68,14.25,53.21,0.0,0.03773584905660377,0.03734439834024896
TJ Friend (ZIM),2001-2004,3,32,15.96875,91,17.03,78.37,0.0,0.09375,0.09049079754601227
NLTC Perera (SL),2009-2013,4,39,12.974358974358974,69,15.81,110.48,0.0,0.02564102564102564,0.12008733624454149
BG Rogers (ZIM),2002-2005,3,15,31.866666666666667,84,31.86,69.37,0.0,0.3333333333333333,0.0899854862119013
Taufeeq Umar (PAK),2001-2005,4,19,23.526315789473685,81,24.83,57.45,0.0,0.15789473684210525,0.061696658097686374
DA Miller (SA),2010-2013,3,18,21.27777777777778,67,29.46,101.05,0.0,0.16666666666666666,0.09762532981530343
SPD Smith (AUS),2010-2013,3,22,17.272727272727273,46,21.11,86.75,0.0,0.0,0.0684931506849315
Noor Ali Zadran (AFG),2009-2012,3,14,26.5,114,28.53,70.66,0.07142857142857142,0.07142857142857142,0.06857142857142857
SR Watson (AUS),2002-2005,3,20,17.05,77,31.00,68.06,0.0,0.05,0.04590818363273453
SCJ Broad (ENG),2006-2010,4,37,9.135135135135135,45,14.69,74.12,0.0,0.0,0.05701754385964912
T Mishra (KENYA),2007-2010,3,11,27.818181818181817,66,34.00,78.86,0.0,0.18181818181818182,0.07216494845360824
BA Stokes (ENG),2011-2014,3,19,14.842105263157896,70,15.66,75.80,0.0,0.05263157894736842,0.06989247311827956
R Gunasekera (CAN),2011-2014,3,11,24.363636363636363,72,24.36,69.25,0.0,0.36363636363636365,0.07751937984496124
Tapash Baisya (BDESH),2003-2006,3,30,8.166666666666666,33,11.13,57.37,0.0,0.0,0.04918032786885246
NS Poonia (SCOT),2006-2009,3,21,11.285714285714286,67,11.28,62.86,0.0,0.047619047619047616,0.08753315649867374
JH Davey (SCOT),2010-2014,4,10,22.6,64,25.11,63.12,0.0,0.1,0.061452513966480445
P Kumar (INDIA),2007-2010,3,24,9.375,54,13.23,85.22,0.0,0.041666666666666664,0.0946969696969697
DLS van Bunge (NL),2003-2006,3,9,24.11111111111111,62,24.11,61.47,0.0,0.1111111111111111,0.0679886685552408
TG Southee (NZ),2008-2012,4,31,6.709677419354839,32,10.94,88.51,0.0,0.0,0.08085106382978724
HS Baidwan (CAN),2008-2011,3,16,12.5625,33,22.33,67.00,0.0,0.0,0.04
CK Coventry (ZIM),2003-2006,3,10,19.9,74,19.90,85.77,0.0,0.1,0.11206896551724138
Mohammad Sami (PAK),2001-2004,3,33,5.909090909090909,23,13.00,61.90,0.0,0.0,0.0380952380952381
WD Parnell (SA),2009-2012,3,13,14.0,49,18.20,74.89,0.0,0.0,0.06584362139917696
RW Chakabva (ZIM),2008-2011,3,10,17.6,45,19.55,59.45,0.0,0.0,0.05405405405405406
KS Lokuarachchi (SL),2003-2006,3,13,13.384615384615385,69,15.81,78.02,0.0,0.07692307692307693,0.04932735426008968
ML Nkala (ZIM),2001-2005,4,19,9.105263157894736,47,11.53,58.44,0.0,0.0,0.05067567567567568
Umar Amin (PAK),2010-2013,3,9,19.22222222222222,59,21.62,77.57,0.0,0.1111111111111111,0.07623318385650224
Usman Limbada (CAN),2010-2013,3,10,17.0,50,18.88,68.82,0.0,0.1,0.07692307692307693
CS MacLeod (SCOT),2009-2012,3,7,24.142857142857142,99,28.16,72.53,0.0,0.14285714285714285,0.06437768240343347
Gulbadin Naib (AFG),2011-2014,3,10,15.2,31,19.00,92.68,0.0,0.0,0.11585365853658537
CS Baugh (WI),2003-2006,3,11,13.272727272727273,29,24.33,81.56,0.0,0.0,0.09497206703910614
KAJ Roach (WI),2008-2012,4,25,5.52,24,11.50,48.59,0.0,0.0,0.04225352112676056
