Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50/I,6+4/BF
V Kohli (INDIA),2009-2012,4,82,45.451219512195124,183,53.24,87.54,0.15853658536585366,0.24390243902439024,
SR Tendulkar (INDIA),1993-1997,5,87,40.9080459770115,137,44.48,85.55,0.12643678160919541,0.21839080459770116,
Yuvraj Singh (INDIA),2002-2005,4,99,29.68686868686869,139,34.57,85.48,0.050505050505050504,0.18181818181818182,
CH Gayle (WI),1999-2003,5,71,38.267605633802816,152,38.81,78.25,0.07042253521126761,0.2535211267605634,
JH Kallis (SA),1996-1999,4,75,34.0,113,40.47,68.38,0.06666666666666667,0.21333333333333335,
Shoaib Malik (PAK),2002-2005,4,81,30.790123456790123,143,34.16,78.79,0.04938271604938271,0.19753086419753085,
Abdul Razzaq (PAK),2000-2003,4,99,23.07070707070707,112,30.45,80.33,0.010101010101010102,0.10101010101010101,
Shakib Al Hasan (BDESH),2007-2011,5,83,27.180722891566266,108,30.90,79.74,0.04819277108433735,0.18072289156626506,
WU Tharanga (Asia/SL),2005-2009,5,73,29.835616438356166,120,30.25,70.41,0.0821917808219178,0.1232876712328767,
RT Ponting (AUS),1995-1998,4,59,36.779661016949156,145,40.94,72.96,0.0847457627118644,0.2033898305084746,
Salman Butt (PAK),2004-2008,5,54,39.01851851851852,136,41.31,78.64,0.12962962962962962,0.16666666666666666,
Tamim Iqbal (BDESH),2009-2012,4,65,32.184615384615384,154,32.68,88.19,0.03076923076923077,0.24615384615384617,
Mohammad Ashraful (Asia/BDESH),2004-2008,5,88,23.488636363636363,109,26.16,73.97,0.022727272727272728,0.125,
AB de Villiers (Afr/SA),2005-2008,4,62,32.87096774193548,146,36.39,86.02,0.04838709677419355,0.1935483870967742,
GC Smith (SA),2002-2005,4,56,35.642857142857146,99,36.96,73.84,0.0,0.26785714285714285,
DPMD Jayawardene (SL),1998-2001,4,72,27.34722222222222,128,29.83,75.26,0.06944444444444445,0.09722222222222222,
RR Sarwan (WI),2000-2004,5,58,33.39655172413793,104,46.11,78.42,0.034482758620689655,0.15517241379310345,
SK Raina (INDIA),2007-2010,4,60,32.1,116,40.97,97.27,0.05,0.21666666666666667,
Umar Akmal (PAK),2010-2013,4,63,29.714285714285715,91,35.32,85.75,0.0,0.20634920634920634,
Shahriar Nafees (BDESH),2005-2008,4,60,30.95,123,33.76,69.68,0.06666666666666667,0.16666666666666666,
BRM Taylor (ZIM),2006-2009,4,62,29.596774193548388,118,34.62,72.27,0.016129032258064516,0.1935483870967742,
BC Lara (WI),1990-1993,4,49,36.53061224489796,128,40.68,69.43,0.061224489795918366,0.2653061224489796,
E Chigumbura (Afr/ZIM),2006-2010,5,78,22.705128205128204,79,24.94,81.50,0.0,0.1282051282051282,
SP Fleming (NZ),1994-1997,4,61,28.721311475409838,106,31.28,73.76,0.01639344262295082,0.18032786885245902,
Inzamam-ul-Haq (PAK),1991-1993,3,50,34.12,117,38.77,75.28,0.04,0.22,
Shahid Afridi (PAK),2000-2003,4,75,22.573333333333334,108,24.18,100.17,0.013333333333333334,0.14666666666666667,
VG Kambli (INDIA),1992-1995,4,54,30.51851851851852,100,40.19,73.73,0.018518518518518517,0.2037037037037037,
M Kaif (INDIA),2002-2004,3,66,23.87878787878788,111,30.90,73.57,0.015151515151515152,0.13636363636363635,
LD Chandimal (SL),2010-2013,4,61,25.39344262295082,111,30.37,73.20,0.03278688524590164,0.14754098360655737,
MJ Clarke (AUS),2003-2005,3,45,33.333333333333336,105,45.45,89.02,0.044444444444444446,0.17777777777777778,
EJG Morgan (ENG/IRE),2007-2010,4,49,30.081632653061224,115,37.79,80.10,0.061224489795918366,0.16326530612244897,
Aftab Ahmed (BDESH),2006-2008,3,58,24.689655172413794,92,26.51,90.00,0.0,0.1896551724137931,
S Chanderpaul (WI),1994-1998,5,47,30.4468085106383,109,32.52,63.68,0.02127659574468085,0.2127659574468085,
Mushfiqur Rahim (BDESH),2007-2011,5,68,19.83823529411765,98,23.66,69.00,0.0,0.08823529411764706,
Raqibul Hasan (BDESH),2008-2011,4,54,24.22222222222222,89,27.82,61.32,0.0,0.14814814814814814,
KS Williamson (NZ),2010-2013,4,42,30.357142857142858,145,35.41,77.22,0.07142857142857142,0.14285714285714285,
V Sehwag (INDIA),1999-2002,4,41,30.536585365853657,126,34.77,101.95,0.04878048780487805,0.17073170731707318,
