Player,Span,Years,Inns,Overs,Mdns/Ove,Runs,Wkts,BBI,Ave,Econ,SR
MA Starc (AUS),2014-2017,4,44,366.4,0.06277292576419215,1707,88,0.21428571428571427,19.39,4.65,25.0,
JO Holder (WI),2014-2017,4,57,458.0,0.0611353711790393,2543,74,0.18518518518518517,34.36,5.55,37.1,
K Rabada (SA),2015-2017,3,42,361.1,0.06369426751592357,1826,70,0.375,26.08,5.05,30.9,
JR Hazlewood (AUS),2014-2017,4,35,316.2,0.06957621758380772,1480,63,0.11538461538461539,23.49,4.67,30.1,
MJ Henry (NZ),2014-2017,4,31,280.5,0.049910873440285206,1558,62,0.16666666666666666,25.12,5.54,27.1,
Mohammed Shami (INDIA),2014-2017,4,28,243.4,0.06162695152013147,1345,61,0.11428571428571428,22.04,5.51,23.9,
JJ Bumrah (INDIA),2016-2017,2,31,267.5,0.06355140186915888,1273,56,0.18518518518518517,22.73,4.75,28.6,
TA Boult (NZ),2014-2016,3,24,222.5,0.09887640449438202,1069,53,0.18518518518518517,20.16,4.79,25.2,
PJ Cummins (AUS),2014-2017,4,31,272.0,0.04044117647058824,1453,50,0.0975609756097561,29.06,5.34,32.6,
JP Faulkner (AUS),2014-2017,4,29,242.2,0.016515276630883566,1288,47,0.125,27.40,5.31,30.9,
Hasan Ali (PAK),2016-2017,2,22,180.2,0.0388457269700333,971,44,0.14705882352941177,22.06,5.38,24.5,
TL Chatara (ZIM),2014-2017,4,30,252.5,0.07920792079207921,1350,41,0.1,32.92,5.33,37.0,
CR Woakes (ENG),2014-2016,3,30,240.1,0.04164931278633903,1402,41,0.1276595744680851,34.19,5.83,35.1,
TG Southee (NZ),2014-2015,2,25,219.2,0.06386861313868614,1274,38,0.21212121212121213,33.52,5.80,34.6,
ST Finn (ENG),2014-2015,2,25,200.2,0.06493506493506494,1137,37,0.15151515151515152,30.72,5.67,32.4,
AF Milne (NZ),2014-2017,4,32,261.2,0.026799387442572743,1360,37,0.0379746835443038,36.75,5.20,42.3,
HH Pandya (INDIA),2016-2017,2,31,223.2,0.013440860215053764,1242,35,0.0967741935483871,35.48,5.56,38.2,
BJ McCarthy (IRE),2016-2017,2,15,124.4,0.03215434083601286,765,33,0.10869565217391304,23.18,6.13,22.6,
JH Davey (SCOT),2014-2017,4,17,136.5,0.08791208791208792,694,32,0.21428571428571427,21.68,5.07,25.6,
CJ Jordan (ENG),2014-2015,2,20,166.3,0.012026458208057726,954,32,0.1724137931034483,29.81,5.72,31.2,
DJ Willey (ENG),2015-2017,3,25,186.4,0.06974248927038626,1048,32,0.11764705882352941,32.75,5.61,35.0,
B Kumar (INDIA),2014-2017,4,33,275.5,0.06170598911070781,1442,31,0.12121212121212122,46.51,5.22,53.3,
Mohammad Amir (PAK),2016-2017,2,21,179.4,0.04459308807134894,908,30,0.1875,30.26,5.05,35.9,
Amir Hamza (AFG),2014-2017,4,20,174.4,0.09174311926605504,707,29,0.23529411764705882,24.37,4.04,36.1,
MR Marsh (AUS),2014-2016,3,27,176.0,0.028409090909090908,999,29,0.15151515151515152,34.44,5.67,36.4,
Rubel Hossain (BDESH),2014-2016,3,22,176.2,0.05107832009080591,1022,29,0.07547169811320754,35.24,5.79,36.4,
CJ Anderson (NZ),2014-2017,4,17,118.0,0.059322033898305086,697,28,0.07936507936507936,24.89,5.90,25.2,
PKD Chase (IRE),2016-2017,2,18,154.2,0.0,1065,27,0.09090909090909091,39.44,6.90,34.2,
Dawlat Zadran (AFG),2014-2015,2,20,157.3,0.04450095359186268,932,26,0.10344827586206896,35.84,5.91,36.3,
LM Jongwe (ZIM),2015-2016,2,19,130.5,0.0842911877394636,664,25,0.8333333333333334,26.56,5.07,31.4,
Taskin Ahmed (BDESH),2015-2017,3,19,141.3,0.028308563340410473,852,25,0.0851063829787234,34.08,6.02,33.9,
CA Young (IRE),2014-2017,4,11,99.3,0.04028197381671702,481,25,0.10869565217391304,19.24,4.83,23.8,
Mustafizur Rahman (BDESH),2015-2017,3,14,116.2,0.043029259896729774,588,23,0.14705882352941177,25.56,5.05,30.3,
WD Parnell (SA),2014-2016,3,14,109.5,0.0365296803652968,598,23,0.09523809523809523,26.00,5.44,28.6,
SM Sharif (SCOT),2014-2017,4,19,144.4,0.08310249307479224,709,23,0.10526315789473684,30.82,4.90,37.7,
BA Stokes (ENG),2014-2017,4,24,169.3,0.011813349084465446,1066,23,0.057692307692307696,46.34,6.28,44.2,
MM Sharma (INDIA),2014-2015,2,16,116.2,0.0774526678141136,577,22,0.18181818181818182,26.22,4.95,31.7,
Al-Amin Hossain (BDESH),2014-2015,2,14,100.3,0.06979062811565304,523,21,0.0784313725490196,24.90,5.20,28.7,
JT Ball (ENG),2016-2017,2,16,142.5,0.03508771929824561,893,21,0.09803921568627451,42.52,6.25,40.8,
KW Richardson (AUS),2014-2017,4,14,123.5,0.048582995951417005,683,21,0.07352941176470588,32.52,5.51,35.3,
MJ Santner (NZ),2015-2017,3,16,132.0,0.022727272727272728,600,21,0.2,28.57,4.54,37.7,
GH Dockrell (IRE),2014-2017,4,20,174.0,0.022988505747126436,892,20,0.14285714285714285,44.60,5.12,52.2,
N Madziva (ZIM),2014-2016,3,12,86.4,0.023148148148148147,519,20,0.08163265306122448,25.95,5.98,26.0,
AR Patel (INDIA),2014-2017,4,16,146.4,0.040983606557377046,639,20,0.07692307692307693,31.95,4.35,44.0,
NLTC Perera (SL),2014-2016,3,26,165.4,0.018137847642079805,1004,20,0.10344827586206896,50.20,6.06,49.7,
AD Russell (WI),2014-2015,2,13,103.0,0.05825242718446602,657,20,0.09090909090909091,32.85,6.37,30.9,
Gulbadin Naib (AFG),2015-2017,3,19,113.0,0.04424778761061947,533,18,0.14814814814814814,29.61,4.71,37.6,
RJW Topley (ENG),2015-2016,2,10,77.1,0.07782101167315175,410,16,0.08,25.62,5.31,28.9,
JDS Neesham (NZ),2014-2017,4,17,104.1,0.01921229586935639,687,15,0.08333333333333333,45.80,6.59,41.6,
AL Phehlukwayo (SA),2016-2017,2,11,68.4,0.07309941520467836,337,15,0.1,22.46,4.90,27.4,
RA Jadeja (INDIA),2014-2015,2,11,98.2,0.04073319755600815,490,14,0.13333333333333333,35.00,4.98,42.1,
N Vanua (PNG),2014-2017,4,10,76.4,0.026178010471204185,398,14,0.06666666666666667,28.42,5.19,32.8,
LH Ferguson (NZ),2016-2017,2,10,81.0,0.012345679012345678,497,13,0.17647058823529413,38.23,6.13,37.3,
AR McBrine (IRE),2014-2017,4,10,90.0,0.022222222222222223,398,12,0.07142857142857142,33.16,4.42,45.0,
Mirwais Ashraf (AFG),2014-2015,2,14,113.3,0.0970873786407767,476,12,0.06896551724137931,39.66,4.19,56.7,
MA Wood (ENG),2015-2016,2,11,99.0,0.020202020202020204,578,12,0.06521739130434782,48.16,5.83,49.5,
Aizaz Khan (HKG),2014-2017,4,12,79.1,0.0,491,10,0.07692307692307693,49.10,6.20,47.5,
PVD Chameera (SL),2015-2017,3,13,87.0,0.022988505747126436,490,8,0.05263157894736842,61.25,5.63,65.2,
Junaid Khan (PAK),2014-2015,2,10,77.3,0.0258732212160414,520,5,0.029850746268656716,104.00,6.70,93.0,
