Player,Span,Years,Inns,Overs,Mdns/Ove,Runs,Wkts,BBI,Ave,Econ,SR
AB Agarkar (INDIA),1998-2001,4,81,716.2,0.047472772968444564,3663,124,0.16,29.54,5.11,34.6,
Abdul Razzaq (PAK),2000-2003,4,96,752.3,0.06513359032300944,3354,123,0.17142857142857143,27.26,4.45,36.7,
Saqlain Mushtaq (PAK),1997-2000,4,60,548.5,0.05104831358249772,2283,112,0.13157894736842105,20.38,4.15,29.4,
Waqar Younis (PAK),1992-1995,4,68,591.0,0.07106598984771574,2667,108,0.2,24.69,4.51,32.8,
WPUJC Vaas (SL),1994-1998,5,83,664.2,0.10990665462210177,2653,105,0.2,25.26,3.99,37.9,
IK Pathan (INDIA),2004-2008,5,75,608.1,0.06248972208518336,3218,102,0.18518518518518517,31.54,5.29,35.7,
SCJ Broad (ENG),2006-2010,5,61,506.2,0.06716712761754247,2624,99,0.21739130434782608,26.50,5.18,30.6,
Mohammad Sami (PAK),2001-2004,4,64,544.3,0.058791107844938455,2654,98,0.5,27.08,4.87,33.3,
MF Maharoof (SL),2004-2008,5,62,463.0,0.08639308855291576,2151,89,0.42857142857142855,24.16,4.64,31.2,
Mashrafe Mortaza (Asia/BDESH),2004-2007,4,57,494.4,0.09304207119741101,2213,79,0.23076923076923078,28.01,4.47,37.5,
Z Khan (INDIA),2000-2002,3,49,420.2,0.05711565920990005,2022,76,0.09523809523809523,26.60,4.81,33.1,
JM Anderson (ENG),2002-2006,5,48,408.4,0.09794319294809012,1972,75,0.16,26.29,4.82,32.6,
Shakib Al Hasan (BDESH),2007-2011,5,54,472.3,0.07622273978403557,1975,72,0.12121212121212122,27.43,4.17,39.3,
Aaqib Javed (PAK),1992-1996,5,73,607.4,0.0658544616397761,2509,71,0.2631578947368421,35.33,4.12,51.3,
TG Southee (NZ),2008-2012,5,52,426.2,0.05865790708587518,2248,69,0.15151515151515152,32.57,5.27,37.0,
KAJ Roach (WI),2008-2012,5,40,348.1,0.04021832806664751,1714,67,0.2222222222222222,25.58,4.92,31.1,
CRD Fernando (SL),2001-2003,3,49,360.3,0.041631973355537054,1878,65,0.08333333333333333,28.89,5.20,33.2,
Harbhajan Singh (INDIA),2001-2003,3,54,508.2,0.047225501770956316,2101,63,0.1111111111111111,33.34,4.13,48.4,
Junaid Khan (PAK),2011-2013,3,38,294.4,0.07472826086956523,1445,63,0.3333333333333333,22.93,4.90,28.0,
DNT Zoysa (SL),1998-2002,5,59,448.2,0.08478357875948238,2002,63,0.14285714285714285,31.77,4.46,42.6,
JE Taylor (WI),2006-2008,3,43,371.5,0.059219380888290714,1742,62,0.10416666666666667,28.09,4.68,35.9,
E Chigumbura (Afr/ZIM),2006-2010,5,57,366.1,0.04643540016388965,2067,61,0.14285714285714285,33.88,5.64,36.0,
SL Malinga (SL),2004-2007,4,38,311.1,0.07714561234329798,1461,61,0.09090909090909091,23.95,4.69,30.6,
BAW Mendis (SL),2008-2009,2,24,186.1,0.07522837184309511,709,58,0.46153846153846156,12.22,3.80,19.2,
NLTC Perera (SL),2009-2013,5,38,277.3,0.04688063469166967,1492,58,0.13636363636363635,25.72,5.37,28.7,
Shafiul Islam (BDESH),2010-2013,4,48,340.4,0.07050528789659224,1975,58,0.19047619047619047,34.05,5.79,35.2,
P Kumar (INDIA),2007-2010,4,44,355.2,0.09290540540540541,1801,56,0.12903225806451613,32.16,5.06,38.0,
RP Singh (INDIA),2006-2009,4,46,347.4,0.0690846286701209,1950,54,0.1,36.11,5.60,38.6,
J Srinath (INDIA),1991-1993,3,40,349.3,0.07443458345261952,1489,54,0.12195121951219512,27.57,4.26,38.8,
HH Streak (ZIM),1994-1998,5,44,380.1,0.081557484872402,1634,54,0.15625,30.25,4.29,42.2,
DS Mohanty (INDIA),1997-2000,4,40,302.4,0.06283068783068783,1535,53,0.07142857142857142,28.96,5.07,34.2,
ST Finn (ENG),2011-2013,3,32,299.5,0.06343906510851419,1380,52,0.11764705882352941,26.53,4.60,34.5,
SM Pollock (SA),1996-1997,2,33,302.1,0.07613373055279708,1209,47,0.12121212121212122,25.72,4.00,38.5,
GP Wickramasinghe (SL),1992-1994,3,60,438.2,0.07074395253308992,1878,47,0.10714285714285714,39.95,4.28,55.9,
