Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50/I
V Kohli (INDIA),2009-2012,4,77,47.61038961038961,183,54.71,86.93,0.16883116883116883,0.2597402597402597,
SR Tendulkar (INDIA),1993-1997,5,86,41.104651162790695,137,44.74,85.30,0.12790697674418605,0.22093023255813954,
Q de Kock (SA),2013-2016,4,68,41.64705882352941,178,44.25,95.03,0.16176470588235295,0.11764705882352941,
CH Gayle (WI),1999-2003,5,70,38.714285714285715,152,39.27,78.45,0.07142857142857142,0.2571428571428571,
JH Kallis (SA),1996-1999,4,68,35.73529411764706,113,43.39,69.25,0.07352941176470588,0.23529411764705882,
WU Tharanga (Asia/SL),2005-2009,5,73,29.835616438356166,120,30.25,70.41,0.0821917808219178,0.1232876712328767,
Shakib Al Hasan (BDESH),2007-2011,5,74,28.527027027027028,108,32.47,82.33,0.05405405405405406,0.1891891891891892,
Salman Butt (PAK),2004-2008,5,54,39.01851851851852,136,41.31,78.64,0.12962962962962962,0.16666666666666666,
RT Ponting (AUS),1995-1998,4,55,38.29090909090909,145,40.50,72.69,0.09090909090909091,0.21818181818181817,
Tamim Iqbal (BDESH),2009-2012,4,65,32.184615384615384,154,32.68,88.19,0.03076923076923077,0.24615384615384617,
AB de Villiers (Afr/SA),2005-2008,4,62,32.87096774193548,146,36.39,86.02,0.04838709677419355,0.1935483870967742,
Ahmed Shehzad (PAK),2013-2015,3,54,37.18518518518518,124,37.18,74.20,0.07407407407407407,0.24074074074074073,
GC Smith (SA),2002-2005,4,56,35.642857142857146,99,36.96,73.84,0.0,0.26785714285714285,
Shahriar Nafees (BDESH),2005-2008,4,60,30.95,123,33.76,69.68,0.06666666666666667,0.16666666666666666,
Mohammad Ashraful (Asia/BDESH),2004-2008,5,76,24.039473684210527,109,25.37,74.17,0.02631578947368421,0.13157894736842105,
BC Lara (WI),1990-1993,4,49,36.53061224489796,128,40.68,69.43,0.061224489795918366,0.2653061224489796,
DPMD Jayawardene (SL),1998-2001,4,55,31.945454545454545,128,34.45,75.60,0.09090909090909091,0.12727272727272726,
RR Sarwan (WI),2000-2004,5,52,33.78846153846154,104,45.05,76.69,0.038461538461538464,0.15384615384615385,
BRM Taylor (ZIM),2006-2009,4,59,29.491525423728813,118,34.80,72.71,0.01694915254237288,0.1864406779661017,
SP Fleming (NZ),1994-1997,4,59,29.322033898305083,106,32.03,73.93,0.01694915254237288,0.1864406779661017,
