Rank,Rating,Name
1,876,V. Kohli,
2,872,A.B. de Villiers,
3,865,D.A. Warner,
4,846, Babar Azam,
5,816,R.G. Sharma,
6,808,Q. de Kock,
7,802,J.E. Root,
8,773,F. du Plessis,
9,766,H.M. Amla,
10,750,K.S. Williamson,
11,735,L.R.P.L. Taylor,
12,729,M.S. Dhoni,
13,728,S.P.D. Smith,
14,726,S Dhawan,
15,717,M.J. Guptill,
16,677, Tamim Iqbal,
17,674,A.J. Finch,
18,660,A.D. Hales,
19,658, Mushfiqur Rahim,
20,650,E.J.G. Morgan,
21,649,J.C. Buttler,
22,646,B.A. Stokes,
23,636,K.J. Coetzer,
24,632,A.D. Mathews,
25,625, Mohammad Hafeez,
26,612,T.W.M. Latham,
26,612,A.M. Rahane,
28,608,G.J. Maxwell,
29,606,T.M. Head,
30,605,G.J. Bailey,
31,603,D.A. Miller,
32,599,J.J. Roy,
33,598, Shakib Al Hasan,
34,591,P.R. Stirling,
35,581, Azhar Ali,
36,571,W.U. Tharanga,
37,562, Sarfraz Ahmed,
37,562,N. Dickwella,
39,560,M.R. Marsh,
40,557, Shoaib Malik,
40,557,K.M. Jadhav,
40,557, Mahmudullah,
43,554,E.C. Joyce,
44,549,B.K.G. Mendis,
45,546, Fakhar Zaman,
46,545,J-P. Duminy,
47,539, Soumya Sarkar,
48,535,J.M. Bairstow,
49,533,M.N. Samuels,
50,531,H.D.R.L. Thirimanne,
51,530, Sikandar Raza,
52,525,M.P. Stoinis,
53,524,J.P. Faulkner,
54,522,Moeen Ali,
54,522,K.J. O'Brien,
56,519,W.T.S. Porterfield,
57,517, Mohammad Nabi,
58,513,H. Masakadza,
59,512,M.S. Wade,
60,511, Sabbir Rahman,
60,511,N.T. Broom,
62,509,F. Behardien,
63,508,C.S. MacLeod,
64,503, Sharjeel Khan,
65,497,E. Lewis,
66,496,S.C. Williams,
67,490,S.D. Hope,
68,489,J.O. Holder,
69,487,C.R. Ervine,
69,487, Nasir Hossain,
71,486, Ahmed Shehzad,
71,486,C.H. Gayle,
73,485,L.D. Chandimal,
73,485,D.M. Bravo,
75,481,H.H. Pandya,
76,480,J.D.S. Neesham,
77,473,Imrul Kayes,
78,472,E. Chigumbura,
79,471,N.J. O'Brien,
79,471, Shaiman Anwar,
81,468, Umar Akmal,
82,466, Rahmat Shah,
83,464,M.D. Gunathilaka,
84,460,J. Charles,
85,457,L. Ronchi,
85,457,C. Munro,
87,451,K.A. Pollard,
88,447,C.J. Anderson,
89,445,M.D.K.J. Perera,
90,439,H.M. Nicholls,
90,439, Samiullah Shenwari,
92,433, Anshuman Rath,
93,431, Javed Ahmadi,
94,430, Babar Hayat,
94,430, Imad Wasim,
96,426,R.D. Berrington,
97,424,D. Ramdin,
98,419,S.F. Mire,
99,417,D.A.S. Gunaratne,
100,411,M.J. Santner,
