,Player,Span,Years,Inns,NO/I,R/I,Avg,SR,100/I,50/I,6+4/BF,Class
0,V Kohli (INDIA),2009-2012,3,82,0.14634146341463414,45.45121951219512,53.24,87.54,0.15853658536585366,0.24390243902439024,0.08550622504110876,NA
1,Yuvraj Singh (INDIA),2002-2005,3,99,0.1414141414141414,29.686868686868692,34.57,85.48,0.0505050505050505,0.18181818181818185,0.09918557300756252,NA
2,Q de Kock (SA),2013-2016,3,69,0.05797101449275361,41.30434782608695,43.84,94.55,0.15942028985507245,0.11594202898550725,0.12309223623092234,NA
3,Shoaib Malik (PAK),2002-2005,3,81,0.09876543209876544,30.790123456790123,34.16,78.79,0.04938271604938271,0.19753086419753085,0.07330173775671406,NA
4,Shakib Al Hasan (BDESH),2007-2011,4,83,0.12048192771084335,27.180722891566266,30.90,79.74,0.04819277108433735,0.18072289156626506,0.0767055496641923,NA
5,WU Tharanga (Asia/SL),2005-2009,4,73,0.0136986301369863,29.83561643835617,30.25,70.41,0.0821917808219178,0.1232876712328767,0.08535402521823472,NA
6,Umar Akmal (PAK),2010-2014,4,68,0.17647058823529413,31.25,37.94,88.1,0.014705882352941175,0.22058823529411764,0.09038142620232173,NA
7,Salman Butt (PAK),2004-2008,4,54,0.05555555555555555,39.018518518518526,41.31,78.64,0.12962962962962962,0.16666666666666666,0.1015304217991788,NA
8,Tamim Iqbal (BDESH),2009-2012,3,65,0.015384615384615384,32.18461538461539,32.68,88.19,0.030769230769230767,0.24615384615384614,0.1087689713322091,NA
9,Mohammad Ashraful (Asia/BDESH),2004-2008,4,88,0.10227272727272728,23.488636363636363,26.16,73.97,0.022727272727272728,0.125,0.0812455261274159,NA
10,AB de Villiers (Afr/SA),2005-2008,3,62,0.0967741935483871,32.87096774193548,36.39,86.02,0.04838709677419355,0.1935483870967742,0.11355002110595187,NA
11,GC Smith (SA),2002-2005,3,56,0.03571428571428571,35.642857142857146,36.96,73.84,0.0,0.26785714285714285,0.08694043655197928,NA
12,SK Raina (INDIA),2007-2010,3,60,0.21666666666666667,32.1,40.97,97.27,0.05,0.21666666666666667,0.10757575757575756,NA
13,RR Sarwan (WI),2001-2004,3,57,0.2807017543859649,33.631578947368425,46.75,78.75,0.03508771929824561,0.15789473684210525,0.07313064913722267,NA
14,Shahriar Nafees (BDESH),2005-2008,3,60,0.08333333333333333,30.95,33.76,69.68,0.06666666666666668,0.16666666666666666,0.08968105065666042,NA
15,BRM Taylor (ZIM),2006-2009,3,62,0.14516129032258066,29.596774193548388,34.62,72.27,0.016129032258064516,0.1935483870967742,0.0677432059866089,NA
16,E Chigumbura (Afr/ZIM),2006-2010,4,78,0.08974358974358974,22.7051282051282,24.94,81.5,0.0,0.1282051282051282,0.08697653014265992,NA
17,KS Williamson (NZ),2010-2014,4,49,0.12244897959183673,34.673469387755105,39.51,79.06,0.061224489795918366,0.22448979591836732,0.06793857608189856,NA
18,LD Chandimal (SL),2010-2013,3,61,0.16393442622950818,25.393442622950822,30.37,73.2,0.032786885245901634,0.14754098360655735,0.06474480151228733,NA
19,EJG Morgan (ENG/IRE),2007-2010,3,49,0.20408163265306126,30.081632653061227,37.79,80.1,0.061224489795918366,0.16326530612244894,0.09130434782608696,NA
20,Mushfiqur Rahim (BDESH),2007-2011,4,68,0.16176470588235295,19.83823529411765,23.66,69.0,0.0,0.08823529411764706,0.06189258312020461,NA
21,Raqibul Hasan (BDESH),2008-2011,3,54,0.12962962962962962,24.222222222222218,27.82,61.32,0.0,0.14814814814814814,0.05157055789967183,NA
