,HS,Avg,SR,50/I,6+4/BF,Class
0,183.0,53.24,87.54,0.24390243902439024,0.08550622504110876,RS
1,139.0,34.57,85.48,0.18181818181818185,0.09918557300756252,RS
2,143.0,34.16,78.79,0.19753086419753085,0.07330173775671406,RS
3,152.0,42.36,80.31,0.2982456140350877,0.11074160292650484,RS
4,108.0,30.9,79.74,0.18072289156626506,0.0767055496641923,RS
5,120.0,30.25,70.41,0.1232876712328767,0.08535402521823472,NRS
6,136.0,41.31,78.64,0.16666666666666666,0.1015304217991788,RS
7,154.0,32.68,88.19,0.2461538461538461,0.1087689713322091,RS
8,109.0,26.16,73.97,0.125,0.0812455261274159,RS
9,146.0,36.39,86.02,0.1935483870967742,0.11355002110595187,RS
10,99.0,36.96,73.84,0.26785714285714285,0.08694043655197928,RS
11,116.0,40.97,97.27,0.21666666666666667,0.10757575757575756,RS
12,104.0,46.75,78.75,0.15789473684210525,0.07313064913722267,RS
13,91.0,35.32,85.75,0.20634920634920634,0.08657810352725608,RS
14,123.0,33.76,69.68,0.16666666666666666,0.08968105065666042,NRS
15,118.0,34.62,72.27,0.1935483870967742,0.0677432059866089,NRS
16,79.0,24.94,81.5,0.1282051282051282,0.08697653014265992,RS
17,112.0,31.82,80.82,0.1044776119402985,0.08167330677290836,RS
18,111.0,30.9,73.57,0.13636363636363635,0.06349206349206349,NRS
19,111.0,30.37,73.2,0.14754098360655735,0.06474480151228733,NRS
20,105.0,45.45,89.02,0.17777777777777778,0.09258160237388724,RS
21,115.0,37.79,80.1,0.16326530612244894,0.09130434782608696,RS
22,92.0,26.51,90.0,0.1896551724137931,0.11879321181646765,RS
23,98.0,23.66,69.0,0.08823529411764706,0.06189258312020461,NRS
24,89.0,27.82,61.32,0.14814814814814814,0.05157055789967183,NRS
25,145.0,35.41,77.22,0.14285714285714285,0.06662628709872805,NRS
26,114.0,27.13,75.72,0.08771929824561403,0.06189320388349515,NRS
27,95.0,24.29,71.24,0.10526315789473684,0.061529614721104076,NRS
28,108.0,33.35,77.85,0.17777777777777778,0.09211356466876973,RS
29,116.0,23.88,61.95,0.1509433962264151,0.07731434384537131,NRS
30,108.0,23.34,109.66,0.14545454545454545,0.15989159891598914,RS
31,100.0,23.0,68.22,0.11320754716981132,0.0713063320022818,NRS
32,121.0,19.71,57.34,0.031746031746031744,0.04339250493096647,NRS
33,89.0,21.31,65.99,0.08620689655172414,0.07568807339449543,NRS
34,83.0,24.48,78.78,0.08620689655172414,0.09582477754962354,RS
35,86.0,28.89,67.69,0.1590909090909091,0.06966707768187423,NRS
36,96.0,25.19,62.27,0.10638297872340426,0.049440847557386695,NRS
37,177.0,38.85,105.11,0.037037037037037035,0.14729458917835672,NRS
38,81.0,38.5,70.64,0.1935483870967742,0.06986591390261115,NRS
39,128.0,35.57,82.24,0.1176470588235294,0.09661436829066887,RS
40,112.0,24.19,79.1,0.03636363636363636,0.07416267942583732,NRS
