,Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50/I,6+4/BF,Class
0,V Kohli (INDIA),2009-2012,4,82,45.45121951219512,183,53.24,87.54,0.15853658536585366,0.24390243902439024,0.08550622504110876,RS
1,Yuvraj Singh (INDIA),2002-2005,4,99,29.686868686868692,139,34.57,85.48,0.0505050505050505,0.18181818181818185,0.09918557300756252,RS
2,Shoaib Malik (PAK),2002-2005,4,81,30.790123456790123,143,34.16,78.79,0.04938271604938271,0.19753086419753085,0.07330173775671406,RS
3,CH Gayle (WI),2001-2003,3,57,42.368421052631575,152,42.36,80.31,0.08771929824561403,0.2982456140350877,0.11074160292650484,RS
4,Shakib Al Hasan (BDESH),2007-2011,5,83,27.180722891566266,108,30.9,79.74,0.04819277108433735,0.18072289156626506,0.0767055496641923,RS
5,WU Tharanga (Asia/SL),2005-2009,5,73,29.83561643835617,120,30.25,70.41,0.0821917808219178,0.1232876712328767,0.08535402521823472,NRS
6,Salman Butt (PAK),2004-2008,5,54,39.018518518518526,136,41.31,78.64,0.12962962962962962,0.16666666666666666,0.1015304217991788,RS
7,Tamim Iqbal (BDESH),2009-2012,4,65,32.18461538461539,154,32.68,88.19,0.030769230769230767,0.24615384615384614,0.1087689713322091,RS
8,Mohammad Ashraful (Asia/BDESH),2004-2008,5,88,23.488636363636363,109,26.16,73.97,0.022727272727272728,0.125,0.0812455261274159,RS
9,AB de Villiers (Afr/SA),2005-2008,4,62,32.87096774193548,146,36.39,86.02,0.04838709677419355,0.1935483870967742,0.11355002110595187,RS
10,GC Smith (SA),2002-2005,4,56,35.642857142857146,99,36.96,73.84,0.0,0.26785714285714285,0.08694043655197928,RS
11,SK Raina (INDIA),2007-2010,4,60,32.1,116,40.97,97.27,0.05,0.21666666666666667,0.10757575757575756,RS
12,RR Sarwan (WI),2001-2004,4,57,33.631578947368425,104,46.75,78.75,0.03508771929824561,0.15789473684210525,0.07313064913722267,RS
13,Umar Akmal (PAK),2010-2013,4,63,29.714285714285715,91,35.32,85.75,0.0,0.20634920634920634,0.08657810352725608,RS
14,Shahriar Nafees (BDESH),2005-2008,4,60,30.95,123,33.76,69.68,0.06666666666666668,0.16666666666666666,0.08968105065666042,NRS
15,BRM Taylor (ZIM),2006-2009,4,62,29.596774193548388,118,34.62,72.27,0.016129032258064516,0.1935483870967742,0.0677432059866089,NRS
16,E Chigumbura (Afr/ZIM),2006-2010,5,78,22.7051282051282,79,24.94,81.5,0.0,0.1282051282051282,0.08697653014265992,RS
17,Abdul Razzaq (PAK),2001-2003,3,67,24.22388059701493,112,31.82,80.82,0.01492537313432836,0.1044776119402985,0.08167330677290836,RS
18,M Kaif (INDIA),2002-2004,3,66,23.87878787878788,111,30.9,73.57,0.015151515151515154,0.13636363636363635,0.06349206349206349,NRS
19,LD Chandimal (SL),2010-2013,4,61,25.393442622950822,111,30.37,73.2,0.032786885245901634,0.14754098360655735,0.06474480151228733,NRS
20,MJ Clarke (AUS),2003-2005,3,45,33.333333333333336,105,45.45,89.02,0.04444444444444445,0.17777777777777778,0.09258160237388724,RS
21,EJG Morgan (ENG/IRE),2007-2010,4,49,30.081632653061227,115,37.79,80.1,0.061224489795918366,0.16326530612244894,0.09130434782608696,RS
22,Aftab Ahmed (BDESH),2006-2008,3,58,24.689655172413797,92,26.51,90.0,0.0,0.1896551724137931,0.11879321181646765,RS
23,Mushfiqur Rahim (BDESH),2007-2011,5,68,19.83823529411765,98,23.66,69.0,0.0,0.08823529411764706,0.06189258312020461,NRS
24,Raqibul Hasan (BDESH),2008-2011,4,54,24.222222222222218,89,27.82,61.32,0.0,0.14814814814814814,0.05157055789967183,NRS
25,KS Williamson (NZ),2010-2013,4,42,30.357142857142854,145,35.41,77.22,0.07142857142857142,0.14285714285714285,0.06662628709872805,NRS
26,RG Sharma (INDIA),2007-2011,5,57,21.894736842105264,114,27.13,75.72,0.03508771929824561,0.08771929824561403,0.06189320388349515,NRS
27,CK Kapugedera (SL),2007-2011,5,57,21.73684210526316,95,24.29,71.24,0.0,0.10526315789473684,0.061529614721104076,NRS
28,MN Samuels (WI),2001-2005,5,45,27.422222222222217,108,33.35,77.85,0.022222222222222227,0.17777777777777778,0.09211356466876973,RS
29,V Sibanda (Afr/ZIM),2003-2007,5,53,22.981132075471695,116,23.88,61.95,0.018867924528301886,0.1509433962264151,0.07731434384537131,NRS
30,Shahid Afridi (PAK),2001-2003,3,55,22.072727272727274,108,23.34,109.66,0.01818181818181818,0.14545454545454545,0.15989159891598914,RS
31,Junaid Siddique (BDESH),2007-2011,5,53,22.566037735849058,100,23.0,68.22,0.018867924528301886,0.11320754716981132,0.0713063320022818,NRS
32,DD Ebrahim (ZIM),2001-2004,4,63,18.460317460317462,121,19.71,57.34,0.015873015873015872,0.031746031746031744,0.04339250493096647,NRS
33,S Matsikenyeri (ZIM),2003-2007,5,58,19.844827586206893,89,21.31,65.99,0.0,0.08620689655172414,0.07568807339449543,NRS
34,IK Pathan (INDIA),2004-2008,5,58,19.844827586206893,83,24.48,78.78,0.0,0.08620689655172414,0.09582477754962354,RS
35,DM Bravo (WI),2009-2013,5,44,24.95454545454545,86,28.89,67.69,0.0,0.1590909090909091,0.06966707768187423,NRS
36,T Taibu (Afr/ZIM),2003-2005,3,47,22.510638297872337,96,25.19,62.27,0.0,0.10638297872340426,0.049440847557386695,NRS
37,PR Stirling (IRE),2010-2013,4,27,38.85185185185185,177,38.85,105.11,0.1851851851851852,0.037037037037037035,0.14729458917835672,NRS
38,JA Rudolph (SA),2003-2005,3,31,32.29032258064516,81,38.5,70.64,0.0,0.1935483870967742,0.06986591390261115,NRS
39,LRPL Taylor (NZ),2006-2008,3,34,29.294117647058826,128,35.57,82.24,0.05882352941176471,0.1176470588235294,0.09661436829066887,RS
40,DJ Bravo (WI),2004-2007,4,55,18.03636363636364,112,24.19,79.1,0.01818181818181818,0.03636363636363636,0.07416267942583732,NRS
41,HDRL Thirimanne (SL),2010-2013,4,38,26.052631578947373,102,29.11,67.71,0.02631578947368421,0.15789473684210525,0.05198358413132695,NRS
42,AA Obanda (KENYA),2008-2011,4,34,27.735294117647058,96,28.57,73.84,0.0,0.17647058823529413,0.0947533281127643,RS
43,SC Williams (ZIM),2006-2009,4,36,25.805555555555557,75,30.96,72.46,0.0,0.2777777777777778,0.0592823712948518,NRS
44,Imrul Kayes (BDESH),2008-2010,3,30,29.8,101,29.8,65.35,0.03333333333333333,0.2,0.07017543859649122,NRS
45,RA Jadeja (INDIA),2009-2012,4,40,21.5,78,28.66,78.61,0.0,0.125,0.06672760511882997,NRS
46,BB McCullum (NZ),2002-2005,4,51,16.686274509803926,56,22.39,71.51,0.0,0.05882352941176471,0.07226890756302523,NRS
47,CJ Chibhabha (ZIM),2006-2010,5,41,20.170731707317074,73,20.17,58.69,0.0,0.14634146341463414,0.048970901348474094,NRS
48,AD Mathews (SL),2008-2011,4,32,24.875,77,34.6,85.13,0.0,0.1875,0.06844919786096257,NRS
49,RV Uthappa (INDIA),2006-2008,3,34,23.117647058823533,86,27.1,91.92,0.0,0.14705882352941174,0.1286549707602339,RS
50,DR Smith (WI),2004-2007,4,52,14.769230769230768,68,15.36,101.58,0.0,0.038461538461538464,0.12962962962962962,NRS
51,Imran Farhat (PAK),2003-2006,4,22,34.54545454545455,107,36.19,72.58,0.045454545454545456,0.18181818181818185,0.0936007640878701,RS
